"","country","district.region.code","district.region.name","ward.code.3A","ward.name.3A","village.3A","market.name.3A","gps.coordinates.of.the.market"
"77",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889991 35.4914132 924.1970660489767 3.977"
"78",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890257 35.4914137 925.1644671048633 4.873"
"79",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890203 35.4914215 927.1451820663477 4.484"
"80",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890341 35.4914608 922.427574055406 4.094"
"81",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890373 35.4914632 911.8470390621519 4.898"
"82",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890484 35.491476 916.570036998779 3.9"
"83",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889927 35.4913849 925.2799556381426 3.9"
"84",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889729 35.4914574 926.6874840180843 4.63"
"85",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889777 35.4914647 925.2516409839143 4.912"
"86",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889754 35.4914219 919.8915772370094 4.744"
"87",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889958 35.4914387 925.964426081594 4.055"
"88",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889356 35.4914026 916.8480717087003 4.9"
"89",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890344 35.491409 921.5667065026543 4.6"
"90",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890521 35.4913964 929.4819083595615 4.5"
"91",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890512 35.4913425 946.8953142583115 4.9"
"92",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890427 35.4913724 916.9954558247631 5.0"
"93",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889718 35.4914197 930.7447854727845 4.8"
"94",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890041 35.4914288 926.8243996721657 5.0"
"95",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.089018 35.4913808 943.3094166582986 4.9"
"96",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890483 35.4912348 917.0208794303306 4.6"
"97",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890279 35.4913518 921.5547626045693 4.916"
"98",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890885 35.4913817 932.4462676474834 4.7"
"99",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0891611 35.491424 891.1999999999999 4.921"
"100",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0891563 35.491397 891.5 5.0"
"101",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.089025 35.4913884 935.0 3.242"
"102",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890205 35.4912925 925.5999999999999 4.657"
"103",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890989 35.4913063 940.8 4.96"
"104",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890144 35.4913097 924.5999999999999 4.33"
"105",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890143 35.4913255 923.1999999999999 4.516"
"106",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890641 35.4913165 923.0 5.0"
"107",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890433 35.4913233 922.4 4.2"
"108",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889706 35.491412 916.5999999999999 4.942"
"109",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889753 35.4913532 916.4 4.983"
"110",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890378 35.4913954 916.6999999999999 4.8"
"111",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.089048 35.4912623 913.0999999999999 4.1"
"112",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890299 35.491398 913.0999999999999 3.5"
"113",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890311 35.4914317 916.4 4.913"
"114",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890093 35.4913409 933.330078125 4.744"
"115",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.089023 35.4913692 930.77294921875 4.912"
"116",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889442 35.4912282 939.713134765625 4.824"
"117",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890461 35.4913011 927.84033203125 3.9"
"118",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890662 35.4912878 927.468994140625 4.094"
"119",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890454 35.4915198 933.789794921875 4.094"
"120",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890136 35.4913028 928.838623046875 4.055"
"121",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890556 35.491278 931.9716796875 4.912"
"122",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890889 35.4912656 928.943359375 4.094"
"123",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.089046 35.4913082 927.235595703125 4.801"
"124",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890534 35.4913127 922.65869140625 3.9"
"125",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890633 35.4913347 924.08837890625 3.9"
"126",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890503 35.491432 922.3232421875 4.63"
"127",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890393 35.4912589 932.555419921875 4.801"
"128",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.089071 35.4912848 927.1943359375 3.9"
"129",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4348438 33.9411701 1193.6 5.0"
"130",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4360437 33.9408382 1186.5 4.04"
"131",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4362675 33.9406519 1183.1 4.4"
"132",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4362616 33.9405975 1190.6 4.864"
"133",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4362785 33.940677 1184.4 4.02"
"134",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4361363 33.9404546 1200.4 4.94"
"135",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4361563 33.9403937 1179.2 4.8"
"136",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4359981 33.9406967 1188.5 4.36"
"137",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4358499 33.9407362 1196.0 4.28"
"138",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4357597 33.9407122 1185.5 4.28"
"139",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4356845 33.9407275 1197.9 3.98"
"140",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4355445 33.940513 1184.4 4.666"
"141",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4356323 33.9404549 1173.9 4.24"
"142",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4348183 33.9412104 1183.0565185546875 3.216"
"143",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4348126 33.9411684 1171.4019775390625 4.288"
"144",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4359364 33.9408109 1177.112060546875 4.995"
"145",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4358906 33.9407904 1183.387939453125 4.288"
"146",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4362067 33.9404821 1180.0279541015625 4.995"
