"","fid","2.sell.place.name","2.sell.place.ward","2.sell.place.district","6.buy.place.name","6.buy.place.ward","6.buy.place.district","2.sell.place.ward.final","2.sell.place.district.final","2.sell.place.region.final","acceptAll.final.x","6.buy.place.ward.final","6.buy.place.district.final","6.buy.place.region.final","acceptAll.final.y"
"2834",1160689,"sululu","signal","ifakara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2835",1160690,NA,NA,NA,"sagamaganga","signal","ifakara",NA,NA,NA,NA,NA,NA,NA,NA
"2836",1160691,NA,NA,NA,"kivukoni","minepa","ulanga",NA,NA,NA,NA,"minepa","ulanga.dc","morogoro","acceptWDR0"
"2837",1160692,"sagamaganga","signal","ifakara","sagamaganga","signal","ifakara",NA,NA,NA,NA,NA,NA,NA,NA
"2838",1160693,"kidatu","kidatu","ifakara",NA,NA,NA,"kidatu","kilombero.dc","morogoro","acceptWR0",NA,NA,NA,NA
"2839",1160694,"kiswago","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2840",1160695,NA,NA,NA,"lipangalala","lipangalala","ifakara",NA,NA,NA,NA,NA,NA,NA,NA
"2841",1160696,NA,NA,NA,"kibaoni","kibaoni","ifakara",NA,NA,NA,NA,"kibaoni","ifakara.tc","morogoro","acceptWDR0"
"2842",1160697,"pambazuko","ifakara","ifakara",NA,NA,NA,"ifakara","ifakara.tc","morogoro","acceptWDR0",NA,NA,NA,NA
"2843",1160698,"sagamaganga","signal","ifakara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2844",1160699,"kipingo","signal","kilombero","kipingo","signal","kilombero","kiberege","kilombero.dc","morogoro","acceptHF2","kiberege","kilombero.dc","morogoro","acceptHF2"
"2845",1160700,"mabanda","ngoheranga","malinyi",NA,NA,NA,"ngoheranga","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2846",1160701,NA,NA,NA,"sofi.mission","sofi","malinyi",NA,NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0"
"2847",1160702,"likaye","igawa","malinyi","kiswago","sofi","malinyi",NA,NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0"
"2848",1160703,"mkomange","igawa","malinyi","mkomange","igawa","malinyi",NA,NA,NA,NA,NA,NA,NA,NA
"2849",1160704,"sofi.majimi","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2850",1160705,"kiswago","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2851",1160706,"kiswago","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2852",1160707,"makerere","malinyi","malinyi",NA,NA,NA,"malinyi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2853",1160708,NA,NA,NA,"igawa","igawa","malinyi",NA,NA,NA,NA,NA,NA,NA,NA
"2854",1160709,"makerere","malinyi","malinyi",NA,NA,NA,"malinyi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2855",1160710,NA,NA,NA,"kiswago","sofi","malinyi",NA,NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0"
"2856",1160711,"igawa","igawa","malinyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2857",1160712,"kiswago","sofi","malinyi","salamiti","sofi","malinyi","sofi","malinyi.dc","morogoro","acceptWDR0","sofi","malinyi.dc","morogoro","acceptWDR0"
"2858",1160713,"kiswago","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2859",1160714,"sofi.mission","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2860",1160715,"salamiti","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2861",1160716,"igawa","igawa","malinyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2862",1160717,"salamiti","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2863",1160718,"lupunga","ngoheranga","malinyi","salamiti","sofi","malinyi","ngoheranga","malinyi.dc","morogoro","acceptWDR0","sofi","malinyi.dc","morogoro","acceptWDR0"
"2864",1160719,"chikole","usangule","malinyi",NA,NA,NA,"usangule","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2865",1160720,"ikulu.kiswago","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2866",1160721,NA,NA,NA,"kalengakero","usangule","malinyi",NA,NA,NA,NA,"usangule","malinyi.dc","morogoro","acceptWDR0"
"2867",1160722,"salamiti","sofi","malinyi","itete","itete","malinyi","sofi","malinyi.dc","morogoro","acceptWDR0","itete","malinyi.dc","morogoro","acceptWDR0"
"2868",1160723,"kiswago","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2869",1160724,"chikole","usangule","malinyi",NA,NA,NA,"usangule","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2870",1160725,"majiji","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2871",1160726,"chikole","usangule","malinyi",NA,NA,NA,"usangule","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2872",1160727,"salamiti","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2873",1160728,"salamiti","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2874",1160729,"kipingo","malinyi","malinyi",NA,NA,NA,"malinyi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2875",1160730,"salamiti","sofi","malinyi","mavimba","milola","ulanga","sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2876",1160731,"salamiti","sofi","malinyi","dsm","vingunguti","ilala","sofi","malinyi.dc","morogoro","acceptWDR0","vingunguti","ilala.mc","dar.es.salaam","acceptWDR0"
"2877",1160732,NA,NA,NA,"lupemenda","igawa","malinyi",NA,NA,NA,NA,NA,NA,NA,NA
"2878",1160733,"mwembeni","malinyi","malinyi",NA,NA,NA,"malinyi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2879",1160734,"usangule","usangule","malinyi",NA,NA,NA,"usangule","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2880",1160735,"kalengakero","sangule","malinyi",NA,NA,NA,"usangule","malinyi.dc","morogoro","acceptWDR2",NA,NA,NA,NA
"2881",1160736,"salamiti","sofi","malinyi","pugu","pugu","ilala","sofi","malinyi.dc","morogoro","acceptWDR0","pugu","ilala.mc","dar.es.salaam","acceptWDR0"
"2882",1160737,"misegese","malinyi","malinyi","salamiti","sofi","malinyi","malinyi","malinyi.dc","morogoro","acceptWDR0","sofi","malinyi.dc","morogoro","acceptWDR0"
"2883",1160738,"salamiti","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
