"","fid","2.sell.place.name","2.sell.place.ward","2.sell.place.district","6.buy.place.name","6.buy.place.ward","6.buy.place.district","2.sell.place.ward.final","2.sell.place.district.final","2.sell.place.region.final","acceptAll.final.x","6.buy.place.ward.final","6.buy.place.district.final","6.buy.place.region.final","acceptAll.final.y"
"1",1144525,"kongogo","babayu","bahi","mnada.wa.kizota","kizota","dodoma.mjini","babayu","bahi.dc","dodoma","acceptWDR0","kizota","dodoma.cc","dodoma","acceptWDR0"
"2",1144526,"lamaiti","lamaiti","bahi",NA,NA,NA,"lamaiti","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"3",1144527,"chasa","babayu","chemba",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1",NA,NA,NA,NA
"4",1144528,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"5",1144529,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"6",1144530,"masimba","masimba","chemba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1144531,NA,NA,NA,"tinai","msisi","bahi",NA,NA,NA,NA,"msisi","bahi.dc","dodoma","acceptWDR0"
"8",1144532,"kongogo","babayu","bahi","kizota","kizota","dodoma.mjini","babayu","bahi.dc","dodoma","acceptWDR0","kizota","dodoma.cc","dodoma","acceptWDR0"
"9",1144533,NA,NA,NA,"chasi","babayu","chemba",NA,NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1"
"10",1144534,"chasi","babayu","chemba",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1",NA,NA,NA,NA
"11",1144535,"chasi","babayu","chemba",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1",NA,NA,NA,NA
"12",1144621,"tinai.village","msisi","bahi",NA,NA,NA,"msisi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"13",1144622,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"14",1144623,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"15",1144624,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"16",1144625,NA,NA,NA,"chase","babayu","chemba",NA,NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1"
"17",1144626,NA,NA,NA,"masimba","babayu","chemba",NA,NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1"
"18",1144627,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"19",1144628,"kongogo","babayu","bahi","dodoma","dodoma.mjini","dodoma.mjini","babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"20",1144630,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"21",1144631,"mugondo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"22",1144632,"kongogo","kongogo","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptHF0",NA,NA,NA,NA
"23",1144633,"chinyika","mpendo","nchemba",NA,NA,NA,"mpendo","chemba.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"24",1144634,"babayu","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"25",1144635,NA,NA,NA,"makorongo","makorongo","nchemba",NA,NA,NA,NA,"makorongo","chemba.dc","dodoma","acceptWDR0"
"26",1144636,"maziwa","nchemba","nchemba",NA,NA,NA,"chemba","chemba.dc","dodoma","acceptWDR2",NA,NA,NA,NA
"27",1144637,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"28",1144638,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"29",1144639,"kongogo","babayu","bahi","mnada.wa.zamani","miyuji","dodoma.mjini","babayu","bahi.dc","dodoma","acceptWDR0","miyuji","dodoma.cc","dodoma","acceptWDR0"
"30",1144640,"babayu","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"31",1144641,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"32",1144642,NA,NA,NA,"dodoma","msalato","bahi",NA,NA,NA,NA,"msalato","dodoma.cc","dodoma","acceptWR0"
"33",1144643,"chase","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"34",1144644,"tinai","msisi","bahi",NA,NA,NA,"msisi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"35",1144645,"masinda","masinda","chemba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1144646,NA,NA,NA,"pugu","pugu","kibaha",NA,NA,NA,NA,NA,NA,NA,NA
"37",1144647,"maziwa","chemba","chemba",NA,NA,NA,"chemba","chemba.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"38",1144648,NA,NA,NA,"dodoma","msalato","bahi",NA,NA,NA,NA,"msalato","dodoma.cc","dodoma","acceptWR0"
"39",1144649,NA,NA,NA,"dodoma","msalato","dodoma.jini",NA,NA,NA,NA,"msalato","dodoma.cc","dodoma","acceptWDR0"
"40",1144650,NA,NA,NA,"msalato","msalato","dodoma.mjini",NA,NA,NA,NA,"msalato","dodoma.cc","dodoma","acceptWDR0"
"41",1144651,NA,NA,NA,"kongogo","babayu","bahi",NA,NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0"
"42",1144652,NA,NA,NA,"lukali","lukali","bahi",NA,NA,NA,NA,"lamaiti","bahi.dc","dodoma","acceptHF0"
"43",1145138,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"44",1145139,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"45",1145140,"ibihwa","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"46",1145141,"mpamantwa","mpamantwa","bahi",NA,NA,NA,"mpamantwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"47",1145142,NA,NA,NA,"ilindi","ilindi","bahi",NA,NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0"
"48",1145143,"mnkola","ibihwa","bahi","kibaha.kiwandani","kibaha","kibaha","ibihwa","bahi.dc","dodoma","acceptWDR0","kibaha","kibaha.tc","pwani","acceptWDR1"
"49",1145146,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"50",1145147,"ibihwa","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"51",1145148,"kintinku","kintinku","bahi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1145149,NA,NA,NA,"lamaiti","lamaiti","bahi",NA,NA,NA,NA,"lamaiti","bahi.dc","dodoma","acceptWDR0"
"53",1145150,"udimaa","kintinku","bahi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1145151,"ilindi","ilindi","bahi",NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"55",1145152,"mindolaa","ilindi","bahi",NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"56",1145153,NA,NA,NA,"mnkola","ibihwa","bahi",NA,NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0"
"57",1145154,"mkakatika","mpamantwa","bahi",NA,NA,NA,"mpamantwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"58",1145155,"mnkola","mnkola","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptHF0",NA,NA,NA,NA
"59",1145156,NA,NA,NA,"mnkola","ibihwa","bahi",NA,NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0"
"60",1145157,NA,NA,NA,"dar.es.salam","pugu","temeke",NA,NA,NA,NA,"pugu","ilala.mc","dar.es.salaam","acceptWR0"
"61",1145158,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"62",1145159,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"63",1145160,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"64",1145161,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"65",1145162,"mnkola","ibihwa","bahi","kizota","kizota","dodoma.mjini","ibihwa","bahi.dc","dodoma","acceptWDR0","kizota","dodoma.cc","dodoma","acceptWDR0"
"66",1145163,"ibihwa","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"67",1145164,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"68",1145165,"mkakatika","mpamantwa","bahi","mkakatika","mpamantwa","bahi","mpamantwa","bahi.dc","dodoma","acceptWDR0","mpamantwa","bahi.dc","dodoma","acceptWDR0"
"69",1145166,"mkakatika","mpamantwa","bahi",NA,NA,NA,"mpamantwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"70",1145167,"ibihwa","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"71",1145168,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"72",1145169,"mindola","ilindi","bahi",NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"73",1145585,"mkombola","chigongwe","dodoma.mjini",NA,NA,NA,"chigongwe","dodoma.cc","dodoma","acceptWDR0",NA,NA,NA,NA
"74",1145586,"kigwe","kigwe","bahi","kibaha","soga","kibaha","kigwe","bahi.dc","dodoma","acceptWDR0","soga","kibaha.dc","pwani","acceptWDR0"
"75",1145587,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"76",1145588,"kimendeli","chikola","bahi",NA,NA,NA,"chikola","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"77",1145589,"mhurugano","chikola","bahi",NA,NA,NA,"chikola","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"78",1145590,"mpinga","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"79",1145591,"bahi","bahi","bahi",NA,NA,NA,"bahi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"80",1145592,"majili","sasagila","manyoni",NA,NA,NA,"sasajila","manyoni.dc","singida","acceptWDR2",NA,NA,NA,NA
"81",1145593,"kigwe","kigwe","bahi","kigwe","kigwe","bahi","kigwe","bahi.dc","dodoma","acceptWDR0","kigwe","bahi.dc","dodoma","acceptWDR0"
"82",1145594,"kigwe","kigwe","bahi","kibaha","soga","kibaha","kigwe","bahi.dc","dodoma","acceptWDR0","soga","kibaha.dc","pwani","acceptWDR0"
"83",1145595,NA,NA,NA,"chikola","chikola","bahi",NA,NA,NA,NA,"chikola","bahi.dc","dodoma","acceptWDR0"
"84",1145596,"kigwe","kigwe","bahi","kibaha","soga","kibaha","kigwe","bahi.dc","dodoma","acceptWDR0","soga","kibaha.dc","pwani","acceptWDR0"
"85",1145597,"kigwe","kigwe","bahi","kibaha",NA,"kibaha","kigwe","bahi.dc","dodoma","acceptWDR0","kibaha","kibaha.tc","pwani","acceptWDR1"
"86",1145598,NA,NA,NA,"msembeta","chigongwe","dodoma.mjini",NA,NA,NA,NA,"chigongwe","dodoma.cc","dodoma","acceptWDR0"
"87",1145599,"makanda","makanda","manyoni",NA,NA,NA,"makanda","manyoni.dc","singida","acceptWDR0",NA,NA,NA,NA
"88",1145623,"kigwe","kigwe","bahi","dodoma.mjini","kizota","dodoma.mjini","kigwe","bahi.dc","dodoma","acceptWDR0","kizota","dodoma.cc","dodoma","acceptWDR0"
"89",1145624,"chigongwe","chigongwe","dodoma.mjini",NA,NA,NA,"chigongwe","dodoma.cc","dodoma","acceptWDR0",NA,NA,NA,NA
"90",1145625,"mpinga","mpinga","bahi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1145626,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"92",1145627,"kigwe","kigwe","bahi","pugu","pugu","kibaha","kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"93",1145628,NA,NA,NA,"mzogole","mpinga","bahi",NA,NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptHF6"
"94",1145629,"kigwe","kigwe","bahi","pugu","pugu","kibaha","kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"95",1145630,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"96",1145631,NA,NA,NA,"msembeta","msembeta","dodoma.mjini",NA,NA,NA,NA,NA,NA,NA,NA
"97",1145632,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"98",1145635,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"99",1145636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1145637,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"101",1145638,"kisasa","makuru","bahi","dar.es.salaam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",1145639,"lugala","mbalaawala","bahi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",1145640,"mbalawawala","mbalawala","bahi",NA,NA,NA,"mbalawala","dodoma.cc","dodoma","acceptWR0",NA,NA,NA,NA
"104",1145641,NA,NA,NA,"ibihwa","ibihwa","bahi",NA,NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0"
"105",1145642,"ibihwa","ibihwa","bahi","ibihwa","ibihwa","bahi","ibihwa","bahi.dc","dodoma","acceptWDR0","ibihwa","bahi.dc","dodoma","acceptWDR0"
"106",1145643,"nkulugano","chikola","bahi",NA,NA,NA,"chikola","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"107",1145644,NA,NA,NA,"kigwe","kigwe","bahi",NA,NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0"
"108",1145645,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"109",1145646,"chimendeli",NA,"bahi",NA,NA,NA,"chikola","bahi.dc","dodoma","acceptHF0",NA,NA,NA,NA
"110",1145647,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"111",1145648,"mpinga","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"112",1145649,"mpinga","kigwe","kigwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",1145650,"chimendeli",NA,"bahi",NA,NA,NA,"chikola","bahi.dc","dodoma","acceptHF0",NA,NA,NA,NA
"114",1145651,NA,NA,NA,"dodoma","nala","dodoma.mjini",NA,NA,NA,NA,"nala","dodoma.cc","dodoma","acceptWDR0"
"115",1145652,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"116",1145653,"ilindi","ilindi","bahi",NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"117",1145654,"nala","nala","dodoma.mjini",NA,NA,NA,"nala","dodoma.cc","dodoma","acceptWDR0",NA,NA,NA,NA
"118",1145655,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"119",1145656,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"120",1145657,"bahi","bahi","bahi",NA,NA,NA,"bahi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"121",1145658,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"122",1145659,"kigwe","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"123",1145660,NA,NA,NA,"ilindi","ilindi","bahi",NA,NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0"
"124",1145661,"nala","nala","dodoma",NA,NA,NA,"nala","dodoma.cc","dodoma","acceptWDR0",NA,NA,NA,NA
"125",1145662,NA,NA,NA,"msembeta","kigwe","bahi",NA,NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0"
"126",1145663,"ibihwa","ibihwa","bahi","dodoma",NA,"chamwino.bahi","ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"127",1145664,"mpinga","kigwe","bahi",NA,NA,NA,"kigwe","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"128",1145665,NA,NA,NA,"msembeta","msembeta","dodoma",NA,NA,NA,NA,NA,NA,NA,NA
"129",1146621,"lalago","lalago","maswa","lalago","lalago","maswa","lalago","maswa.dc","simiyu","acceptWDR0","lalago","maswa.dc","simiyu","acceptWDR0"
"130",1146622,"lalago","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"131",1146623,"mwandoya","mwandoya","meatu",NA,NA,NA,"mwandoya","meatu.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"132",1146624,"lalago","lalago","maswa","lalago","lalago","maswa","lalago","maswa.dc","simiyu","acceptWDR0","lalago","maswa.dc","simiyu","acceptWDR0"
"133",1146625,"mwakidiga","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"134",1146626,NA,NA,NA,"lalago","lalago","maswa",NA,NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0"
"135",1146627,"mwakidiga","lalago","maswa","lalago","lalago","maswa","lalago","maswa.dc","simiyu","acceptWDR0","lalago","maswa.dc","simiyu","acceptWDR0"
"136",1146628,"mbalagani","mbalagani","maswa","nyumbani.mnadani","mnadani","maswa",NA,NA,NA,NA,NA,NA,NA,NA
"137",1146629,"sulu","mbalagane","maswa","lalago","lalago","mawsa","lalago","maswa.dc","simiyu","acceptHF6","lalago","maswa.dc","simiyu","acceptWDR0"
"138",1146630,"sulu","mbalagane","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptHF6",NA,NA,NA,NA
"139",1146631,"sulu","mbalagani","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptHF6",NA,NA,NA,NA
"140",1146632,"sulu","mbalagane","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptHF6",NA,NA,NA,NA
"141",1146633,"mwakidiga","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"142",1146634,"mwakidiga.mwandete.suru","lalago","maswa","kishapu","kashapu","kishapu","lalago","maswa.dc","simiyu","acceptWDR0","kishapu","kishapu.dc","shinyanga","acceptWDR2"
"143",1146635,"mwakidiga.gula.mbalagane.lalago.sanga","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"144",1146636,NA,NA,NA,"muhunze","kata","kishapu",NA,NA,NA,NA,NA,NA,NA,NA
"145",1146637,"shemanangombe","lalago","maswa","mandangombe","lalago","maswa","lalago","maswa.dc","simiyu","acceptWDR0","lalago","maswa.dc","simiyu","acceptWDR0"
"146",1146638,"lalago","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"147",1146639,"lalago","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"148",1146640,"lalago.mwakidiga.mwangongo","kishapu.na.lalago","kishapu.na.maswa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",1146641,"mwakibiga","mwakidiga","maswa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",1146644,NA,NA,NA,"alago","lalago","maswa",NA,NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0"
"151",1146645,"lalago.sanga.senani.maswa","lalago.sanga.maswa","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR2",NA,NA,NA,NA
"152",1146646,"mwakidiga.mwangongo","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"153",1146647,"lalago","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"154",1146648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",1146649,NA,NA,NA,"kiwanda.cha.kongoa.kibaha","kongoa","kibaha",NA,NA,NA,NA,NA,NA,NA,NA
"156",1146650,NA,NA,NA,"budekwa","budekwa","maswa",NA,NA,NA,NA,"budekwa","maswa.dc","simiyu","acceptWDR0"
"157",1146651,"lalago","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"158",1146652,"sulu","mbaragane","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptHF6",NA,NA,NA,NA
"159",1146653,"lalago","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"160",1146654,"shinyanga.mwenge","dakama","maswa",NA,NA,NA,"dakama","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"161",1146655,NA,NA,NA,"bushitara","busilili","maswa",NA,NA,NA,NA,"busilili","maswa.dc","simiyu","acceptWDR0"
"162",1146656,"mwandete","basilili","maswa","mhunze","kishapu","kishapu","busilili","maswa.dc","simiyu","acceptWDR2","kishapu","kishapu.dc","shinyanga","acceptWDR0"
"163",1146657,NA,NA,NA,"shinyanga.mwenge",NA,"maswa",NA,NA,NA,NA,"dakama","maswa.dc","simiyu","acceptHF2"
"164",1146658,"mwakidiga","lalago","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"165",1146659,"somanda","mpindo","maswa",NA,NA,NA,"mpindo","maswa.dc","simiyu","acceptWDR0",NA,NA,NA,NA
"166",1146660,NA,NA,NA,"mbaragane","mbaragane","maswa",NA,NA,NA,NA,NA,NA,NA,NA
"167",1146661,NA,NA,NA,"mwamashindike","mwabaratulu","maswa",NA,NA,NA,NA,"nyabubinza","maswa.dc","simiyu","acceptHF2"
"168",1146662,NA,NA,NA,"mandang.ombe","mbaragane","maswa",NA,NA,NA,NA,NA,NA,NA,NA
"169",1146663,NA,NA,NA,"nyalikungu","nyalikungu","maswa",NA,NA,NA,NA,"nyalikungu","maswa.dc","simiyu","acceptWDR0"
"170",1146664,"lalago","lalago","maswa","lalago","lalago","maswa","lalago","maswa.dc","simiyu","acceptWDR0","lalago","maswa.dc","simiyu","acceptWDR0"
"171",1146665,"gula","lalago","maswa","gula","lalago","maswa","lalago","maswa.dc","simiyu","acceptWDR0","lalago","maswa.dc","simiyu","acceptWDR0"
"172",1146666,"sulu","mbaragane","maswa",NA,NA,NA,"lalago","maswa.dc","simiyu","acceptHF6",NA,NA,NA,NA
"173",1146667,NA,NA,NA,"zabazaba","sukuma","maswa",NA,NA,NA,NA,"sukuma","maswa.dc","simiyu","acceptWDR0"
"174",1147072,"nkhome","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"175",1147073,"nkhome","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"176",1147074,"nkhome","ibugule","bahi","pugu",NA,"kibaha","ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"177",1147075,"nkhome","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"178",1147076,"nkhome","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"179",1147077,"chidilo","mpalanga","bahi",NA,NA,NA,"mpalanga","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"180",1147078,"chidilo","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"181",1147079,"chizomoche","mbabala","bahi",NA,NA,NA,"mbabala","dodoma.cc","dodoma","acceptWR0",NA,NA,NA,NA
"182",1147080,"chizomoche","mbabala","bahi",NA,NA,NA,"mbabala","dodoma.cc","dodoma","acceptWR0",NA,NA,NA,NA
"183",1147081,"khome","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"184",1147082,"chipanga","chipanga","bahi",NA,NA,NA,"chipanga","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"185",1147083,"nchinilia","mtitaa","bahi",NA,NA,NA,"mtitaa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"186",1147084,"chidilo","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"187",1147085,"ibugule","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"188",1147086,"chifutuka","chifutuka","bahi",NA,NA,NA,"nondwa","bahi.dc","dodoma","acceptHF1",NA,NA,NA,NA
"189",1147087,"mbabala","mbabala","dodoma.mjini",NA,NA,NA,"mbabala","dodoma.cc","dodoma","acceptWDR0",NA,NA,NA,NA
"190",1147088,"nkhome","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"191",1147089,"chidilo","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"192",1147090,"chidilo","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"193",1147091,"mpalanga","mpalanga","bahi",NA,NA,NA,"mpalanga","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"194",1147092,"nkhome","ibugule","bahi",NA,NA,NA,"ibugule","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"195",1147093,"isanga","chibelela","bahi",NA,NA,NA,"chibelela","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"196",1147094,"nholi","mpalanga","bahi",NA,NA,NA,"mpalanga","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
