"","fid","date","date.final","country","region.final","district.final","ward.final","village.final","market.final","market.type","sheep.0to12","sheep.adult","goat.0to12","goat.adult","gps.coordinates.of.the.market","unique.row.identifier.uuid."
"41",1156805,2022-06-01,"2022-06-01",6,"rukwa","sumbawanga","kipeta","kilyamatundu","kilyamatundu",1,11,63,27,239,"-8.3467597 32.28006 825.8757427595477 4.802","dd68b838-e1ed-11ec-9416-9440c9ab47f0"
"42",1156808,2022-06-01,"2022-06-01",6,"rukwa","sumbawanga","kipeta","kilyamatundu","kilyamatundu",1,12,25,12,167,"-8.3463938 32.280076 825.5870461690187 4.706","de2f921a-e1ed-11ec-9416-9440c9ab47f0"
"43",1156843,2022-06-01,"2022-06-01",6,"mtwara","masasi.township.authority","marika","mumbaka","mumbaka",1,5,15,0,37,"-10.8393795 38.9195557 306.6 4.5","de82386b-e1ed-11ec-9416-9440c9ab47f0"
"44",1156862,2022-06-01,"2022-06-01",6,"mtwara","masasi.township.authority","marika","mumbaka","mumbaka",1,3,7,6,14,"-10.8394309 38.9194842 292.8 4.54","de1fc73c-e1ed-11ec-9416-9440c9ab47f0"
"45",1157047,2022-06-01,"2022-06-01",6,"iringa","mufindi","ihowanza","ihowanza","ihowanza",1,4,13,7,25,"-8.5770442 34.76496 1381.082935336046 5.0","e52bf1a3-eb5b-11ec-9416-9440c9ab47f0"
"46",1157181,2022-06-02,"2022-06-02",6,"rukwa","nkasi","nkomolo","isunta","isunta",1,215,140,NA,NA,"-7.4863483 31.0558939 1538.0815052053151 4.0","0a90f3e9-e2b7-11ec-9416-9440c9ab47f0"
"47",1157407,2022-06-02,"2022-06-02",6,"mtwara","masasi","chiungutwa","chiungutwa","chiungutwa",1,0,2,3,20,"-10.9113775 39.0445176 224.278076171875 4.99","0902fc14-e2b7-11ec-9416-9440c9ab47f0"
"48",1157528,2022-05-30,"2022-06-02",6,"morogoro","ulanga","minepa","mbuyuni","mbuyuni",1,30,22,21,15,"-8.2393017 36.68353 210.66091379734098 4.4","09209dd6-e2b7-11ec-9416-9440c9ab47f0"
"49",1157688,2022-06-01,"2022-06-02",6,"dodoma","bahi","bahi","bahi.sokoni","bahi",1,30,80,60,180,"-5.9628219 35.335335 826.9131278252828 4.8","32fc240c-e380-11ec-9416-9440c9ab47f0"
"50",1157709,2022-06-03,"2022-06-03",6,"katavi","mpanda","kabungu","minyagala","minyagala",1,0,6,0,22,"-6.4177884 30.7913805 1026.3610686530437 3.9","33acc218-e380-11ec-9416-9440c9ab47f0"
"51",1157717,2022-06-02,"2022-06-03",6,"mtwara","masasi","chiungutwa","chiungutwa","chiungutwa",1,6,9,28,39,"-10.8935722 38.988069 233.0 5.0","33ee70df-e380-11ec-9416-9440c9ab47f0"
"52",1157723,2022-06-02,"2022-06-03",6,"mtwara","masasi","chiungutwa","chiungutwa","chiungutwa",1,3,5,7,24,"-10.9110179 39.0448896 232.0 4.8","33a56b10-e380-11ec-9416-9440c9ab47f0"
"53",1157971,2022-06-02,"2022-06-03",6,"songwe","momba","ivuna","ntungwa","mbao",1,38,115,80,170,"-8.5467108 32.4589907 966.3130086548626 5.0","e549ac2e-eb5b-11ec-9416-9440c9ab47f0"
