place,wdr.A,wdr.B,dist.A,dist.B,reg.A.dist,ward.A.dist,dist_sum,acceptWR0,
isale,isale-namanyere-namanyere,sale-ngorongoro.dc-arusha,namanyere,ngorongoro.dc,0.481481481,0.066666667,0.548148148,,
kimamba,kimamba-kilosa.dc-morogoro,kimamba.a-kilosa.dc-morogoro,kilosa.dc,kilosa.dc,0,0.074074074,0.074074074,,
kimamba,kimamba-kilosa.dc-morogoro,kimamba.b-kilosa.dc-morogoro,kilosa.dc,kilosa.dc,0,0.074074074,0.074074074,,
kimamba.nyumbani,kimamba-kilosa.dc-morogoro,kimamba.a-kilosa.dc-morogoro,kilosa.dc,kilosa.dc,0,0.074074074,0.074074074,,
kimamba.nyumbani,kimamba-kilosa.dc-morogoro,kimamba.b-kilosa.dc-morogoro,kilosa.dc,kilosa.dc,0,0.074074074,0.074074074,,
maloto,kimamba-kilosa.dc-morogoro,kimamba.a-kilosa.dc-morogoro,kilosa.dc,kilosa.dc,0,0.074074074,0.074074074,,
maloto,kimamba-kilosa.dc-morogoro,kimamba.b-kilosa.dc-morogoro,kilosa.dc,kilosa.dc,0,0.074074074,0.074074074,,
luchingu,luchingu-newala.dc-mtwara,luchindu-newala.tc-mtwara,newala.dc,newala.tc,0,0.083333333,0.083333333,,
uchingu,luchingu-newala.dc-mtwara,luchindu-newala.tc-mtwara,newala.dc,newala.tc,0,0.083333333,0.083333333,,
matemela,matemela-matemela-matemela,matema-kyela.dc-mbeya,matemela,kyela.dc,0.452777778,0.083333333,0.536111111,,
mwakilalo,nyangokolo-bariadi.dc-simiyu,nyangokolwa-bariadi.tc-simiyu,bariadi.dc,bariadi.tc,0,0.093939394,0.093939394,,
iñyonga,iñyonga-mlele.dc-katavi,inyonga-mlele.dc-katavi,mlele.dc,mlele.dc,0,0.095238095,0.095238095,,
kamalmpaka,iñyonga-mlele.dc-katavi,inyonga-mlele.dc-katavi,mlele.dc,mlele.dc,0,0.095238095,0.095238095,,
kinzoka,kinzoka-songwe.dc-songwe,nzoka-momba.dc-songwe,songwe.dc,momba.dc,0,0.095238095,0.095238095,,
masinda,masinda-chemba.dc-dodoma,manda-chamwino.dc-dodoma,chemba.dc,chamwino.dc,0,0.095238095,0.095238095,,
kabungu,kabungu-tanganyika-tanganyika,bungu-korogwe.dc-tanga,tanganyika,korogwe.dc,0.166666667,0.095238095,0.261904762,,
mbalizi,mbalizi-mbeya.dc-mbeya,mbalizi.rd-mbeya.mc-mbeya,mbeya.dc,mbeya.mc,0,0.1,0.1,,
chilungulu,chilungulu-bahi.dc-dodoma,chinugulu-chamwino.dc-dodoma,bahi.dc,chamwino.dc,0,0.107407407,0.107407407,,
lugala,mbalaawala-bahi.dc-dodoma,mbalawala-dodoma.cc-dodoma,bahi.dc,dodoma.cc,0,0.107407407,0.107407407,,
bwage,mzia-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.111111111,0.111111111,,
kakonji,mzia-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.111111111,0.111111111,,
kambi.ya.fisi,napupa-masasi.dc-mtwara,naputa-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.111111111,0.111111111,,
kibatula,mzia-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.111111111,0.111111111,,
kiwanda.cha.kongoa.kibaha,kongoa-kibaha.dc-pwani,mkongo-rufiji.dc-pwani,kibaha.dc,rufiji.dc,0,0.111111111,0.111111111,,
masasi.mjini,napupa-masasi.dc-mtwara,naputa-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.111111111,0.111111111,,
mzia,mzia-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.111111111,0.111111111,,
napupa,napupa-masasi.dc-mtwara,naputa-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.111111111,0.111111111,,
njaula,mzia-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.111111111,0.111111111,,
saja,nagelo-handeni.dc-tanga,ngwelo-lushoto.dc-tanga,handeni.dc,lushoto.dc,0,0.111111111,0.111111111,,
udui,udui-bariadi.dc-simiyu,guduwi-bariadi.tc-simiyu,bariadi.dc,bariadi.tc,0,0.111111111,0.111111111,,
uwanja.fisi,napupa-masasi.dc-mtwara,naputa-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.111111111,0.111111111,,
uwanja.wa.fisi,napupa-masasi.dc-mtwara,naputa-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.111111111,0.111111111,,
wala,suma-kwimba.dc-mwanza,sukuma-magu.dc-mwanza,kwimba.dc,magu.dc,0,0.111111111,0.111111111,,
wapiwapi,napupa-masasi.dc-mtwara,naputa-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.111111111,0.111111111,,
irunda,irunda-irunda-irunda,ifunda-iringa.dc-iringa,irunda,iringa.dc,0.222222222,0.111111111,0.333333333,,
irunda,irunda-irunda-irunda,idunda-mufindi.dc-iringa,irunda,mufindi.dc,0.222222222,0.111111111,0.333333333,,
minyula,kate-namanyere-namanyere,katesh-hanang.dc-manyara,namanyere,hanang.dc,0.26984127,0.111111111,0.380952381,,
miyula,kate-namanyere-namanyere,katesh-hanang.dc-manyara,namanyere,hanang.dc,0.26984127,0.111111111,0.380952381,,
lamadi,kata-lamadi-lamadi,kibata-kilwa.dc-lindi,lamadi,kilwa.dc,0.3,0.111111111,0.411111111,,
dodoma,dodoma-chamwino.bahi-chamwino.bahi,dodo-chake.chake-kusini.pemba,chamwino.bahi,chake.chake,0.39957265,0.111111111,0.510683761,,
kakoma,kakoma-namanyere-namanyere,katoma-bukoba.dc-kagera,namanyere,bukoba.dc,0.421296296,0.111111111,0.532407407,,
kakoma,kakoma-namanyere-namanyere,kagoma-muleba.dc-kagera,namanyere,muleba.dc,0.421296296,0.111111111,0.532407407,,
makong.onda,makong.onda-masasi.dc-mtwara,makonga-newala.tc-mtwara,masasi.dc,newala.tc,0,0.121212121,0.121212121,,
makong.onda,makong.onda-masasi.dc-mtwara,mkonona-nanyumbu.dc-mtwara,masasi.dc,nanyumbu.dc,0,0.121212121,0.121212121,,
makong.onda.sindano.mnavira,makong.onda-masasi.dc-mtwara,makonga-newala.tc-mtwara,masasi.dc,newala.tc,0,0.121212121,0.121212121,,
makong.onda.sindano.mnavira,makong.onda-masasi.dc-mtwara,mkonona-nanyumbu.dc-mtwara,masasi.dc,nanyumbu.dc,0,0.121212121,0.121212121,,
mchauru,makong.onda-masasi.dc-mtwara,makonga-newala.tc-mtwara,masasi.dc,newala.tc,0,0.121212121,0.121212121,,
mchauru,makong.onda-masasi.dc-mtwara,mkonona-nanyumbu.dc-mtwara,masasi.dc,nanyumbu.dc,0,0.121212121,0.121212121,,
mkwaya,makong.onda-masasi.dc-mtwara,makonga-newala.tc-mtwara,masasi.dc,newala.tc,0,0.121212121,0.121212121,,
mkwaya,makong.onda-masasi.dc-mtwara,mkonona-nanyumbu.dc-mtwara,masasi.dc,nanyumbu.dc,0,0.121212121,0.121212121,,
nakarara,makong.onda-masasi.dc-mtwara,makonga-newala.tc-mtwara,masasi.dc,newala.tc,0,0.121212121,0.121212121,,
nakarara,makong.onda-masasi.dc-mtwara,mkonona-nanyumbu.dc-mtwara,masasi.dc,nanyumbu.dc,0,0.121212121,0.121212121,,
kalyalya,kalyalya-kigoma.dc-kigoma,kalya-uvinza.dc-kigoma,kigoma.dc,uvinza.dc,0,0.125,0.125,,
maswa,maswa-shinyanga.dc-shinyanga,masengwa-shinyanga.dc-shinyanga,shinyanga.dc,shinyanga.dc,0,0.125,0.125,,
