"","place","ward.A","dist.A","reg.A","Facility_N","Village_St","ward.X","dist.X","reg.X","place.X","place.dist","reg.A.dist","dist"
"1","alabama","minazini","malinyi.dc","morogoro","maja","bamba","Kongowe","Kibaha TC","pwani","maja-bamba",0.180952380952381,1,NA
"2","alabama","minazini","malinyi.dc","morogoro","maja","bamba","Kongowe","Kibaha TC","pwani","maja-bamba",0.180952380952381,1,NA
"3","bagamoyo","bagamoyo","pwani","pwani","bagamoyo","dunda","Dunda","Bagamoyo DC","pwani","bagamoyo-dunda",0.142857142857143,0,NA
"4","bangamoyo","bangamoyo","bahi.dc","dodoma","bagamoyo","dunda","Dunda","Bagamoyo DC","pwani","bagamoyo-dunda",0.17989417989418,1,NA
"5","biti","biti","bariadi.dc","simiyu","bitare","bitare","Bitare","Kibondo DC","kigoma","bitare-bitare",0.230769230769231,0.444444444444445,NA
"6","biti","biti","bariadi.dc","simiyu","bitoto","bitoto","Buyagu","Sengerema DC","mwanza","bitoto-bitoto",0.230769230769231,0.555555555555556,NA
"7","biti","biti","bariadi.dc","simiyu","bitale","bitale","Bitale","Kigoma DC","kigoma","bitale-bitale",0.230769230769231,0.444444444444445,NA
"8","bugunguli","buhunda","misungwi.dc","mwanza","mbuguni","mbuguni","Mbuguni","Meru DC","arusha","mbuguni-mbuguni",0.234259259259259,0.444444444444445,NA
"9","bumhala","buhala","bariadi.dc","simiyu","bumba","bumba","Mlingano","Bumbuli DC","tanga","bumba-bumba",0.277056277056277,1,NA
"10","bumhala","buhala","bariadi.dc","simiyu","mhale","mhale","Kikeo","Mvomero DC","morogoro","mhale-mhale",0.277056277056277,0.569444444444445,NA
"11","buzunza","kidinda","bariadi.tc","simiyu","buza","buza","Buza","Temeke MC","dar es salaam","buza-buza",0.242063492063492,0.585470085470085,NA
"12","bwage","mzia","mvomero.dc","morogoro","ibwaga","ibwaga","Ugogoni","Kongwa DC","dodoma","ibwaga-ibwaga",0.297435897435897,0.472222222222222,NA
"13","bwage","mzia","mvomero.dc","morogoro","wagete","wagete","Rigicha","Serengeti DC","mara","wagete-wagete",0.297435897435897,0.416666666666667,NA
"14","bwage","mzia","mvomero.dc","morogoro","bwanga","bwanga","Bwanga","Chato DC","geita","bwanga-bwanga",0.297435897435897,1,NA
"15","bwage","mziha","mvomero.dc","morogoro","ibwaga","ibwaga","Ugogoni","Kongwa DC","dodoma","ibwaga-ibwaga",0.297435897435897,0.472222222222222,NA
"16","bwage","mziha","mvomero.dc","morogoro","wagete","wagete","Rigicha","Serengeti DC","mara","wagete-wagete",0.297435897435897,0.416666666666667,NA
"17","bwage","mziha","mvomero.dc","morogoro","bwanga","bwanga","Bwanga","Chato DC","geita","bwanga-bwanga",0.297435897435897,1,NA
"18","bwage.nyumbani","mziha","mvomero.dc","morogoro","mwageni","mwageni","Itinje","Meatu DC","simiyu","mwageni-mwageni",0.252380952380952,0.569444444444445,NA
"19","bwawani","chikopelo","bahi.dc","dodoma","bwawani","bwawani","Bwawani","Arusha DC","arusha","bwawani-bwawani",0.177777777777778,0.555555555555556,NA
"20","bwawani","kiberenge","ifakara.tc","morogoro","bwawani","bwawani","Bwawani","Arusha DC","arusha","bwawani-bwawani",0.177777777777778,0.569444444444445,NA
"21","chala","chala","namanyere","namanyere","chakulu","chakuru","Uvinza","Uvinza DC","kigoma","chakulu-chakuru",0.222222222222222,0.481481481481482,NA
"22","chala","chala","namanyere","namanyere","chala","chala 'c'","Chala","Nkasi DC","rukwa","chala-chala 'c'",0.222222222222222,0.562962962962963,NA
"23","chala","chala","namanyere","namanyere","chalowe","chalowe","Igwachanya","Wanging'ombe DC","njombe","chalowe-chalowe",0.222222222222222,0.388888888888889,NA
"24","chala","chala","namanyere","namanyere","chala","chala 'a'","Chala","Nkasi DC","rukwa","chala-chala 'a'",0.222222222222222,0.562962962962963,NA
"25","chalinze","chalinze","chalinze.dc","pwani","chalinze","wilunze","Manchali","Chamwino DC","dodoma","chalinze-wilunze",0.166666666666667,1,NA
"26","chalisuka","madibira","mufindi.dc","iringa","chivu","kigina","Ntobeye","Ngara DC","kagera","chivu-kigina",0.277777777777778,0.444444444444445,NA
"27","chamalendi","chamalendi","mpimbwe.dc","katavi","chamalendi","chamalendi","Chamalendi","Mpimbwe DC","katavi","chamalendi-chamalendi",0.174603174603175,0,NA
"28","chamela","chamela","kwimba.dc","mwanza","chato","kitela","Chato","Chato DC","geita","chato-kitela",0.214285714285714,0.544444444444445,NA
"29","chandulu","haya","magu.dc","mwanza","chandulu","chandulu","Ng'haya","Magu DC","mwanza","chandulu-chandulu",0.176470588235294,0,NA
"30","chanikanguo","chanikanguo","masasi.dc","mtwara","chanika","tunguni","Chanika","Ilala MC","dar es salaam","chanika-tunguni",0.191414141414141,0.423076923076923,NA
"31","chanikanguocha","chanikanguo","masasi.dc","mtwara","chanika","chanika","Chanika","Karagwe DC","kagera","chanika-chanika",0.220923520923521,0.333333333333333,NA
"32","chapwa","chapwa","mbozi.dc","songwe","chawi","chawi","Chawi","Nanyamba TC","mtwara","chawi-chawi",0.237373737373737,0.555555555555556,NA
"33","chibuji","nyang.honga","misungwi.dc","mwanza","chibuji","chibuji","Fukalo","Kwimba DC","mwanza","chibuji-chibuji",0.177777777777778,0,NA
"34","chibuji","nyangh.onge","misungwi.dc","mwanza","chibuji","chibuji","Fukalo","Kwimba DC","mwanza","chibuji-chibuji",0.177777777777778,0,NA
"35","chibuji","nyangh.ongwa","misungwi.dc","mwanza","chibuji","chibuji","Fukalo","Kwimba DC","mwanza","chibuji-chibuji",0.177777777777778,0,NA
"36","chifutuka","chifutuka","bahi.dc","dodoma","chifukuta","chifutuka","Nondwa","Bahi DC","dodoma","chifukuta-chifutuka",0.212475633528265,0,NA
"37","chiguluka","chiguluka","bahi.dc","dodoma","chiguluka","chipanga 'b'","Chipanga","Bahi DC","dodoma","chiguluka-chipanga 'b'",0.196969696969697,0,NA
"38","chikole","kangakero","malinyi.dc","morogoro","chato","kitela","Chato","Chato DC","geita","chato-kitela",0.234126984126984,1,NA
"39","chikukwe","chikukwe","masasi.dc","mtwara","chosi a","muwale","Ihahi","Mbarali DC","mbeya","chosi a-muwale",0.273809523809524,0.422222222222222,NA
"40","chilulumo","chilulumo","mbeya.dc","mbeya","chilulumo","not set","Chilulumo","Momba DC","songwe","chilulumo-not set",0.156862745098039,1,NA
"41","chilulumo","mkomba","momba.dc","songwe","chilulumo","not set","Chilulumo","Momba DC","songwe","chilulumo-not set",0.156862745098039,0,NA
"42","chilungulu","chilungulu","bahi.dc","dodoma","ilungu","ilungu","Ipepo","Makete DC","njombe","ilungu-ilungu",0.194871794871795,0.444444444444445,NA
"43","chimendeli","chimendeli","bahi.dc","dodoma","chimendeli","chikola","Chikola","Bahi DC","dodoma","chimendeli-chikola",0.148148148148148,0,NA
"44","chingali","njiwa","malinyi.dc","morogoro","chiwonga","chikuti","Chiwonga","Newala DC","mtwara","chiwonga-chikuti",0.229166666666667,0.472222222222222,NA
"45","chinongwe","chinongwe","masasi.dc","mtwara","chinongwe","chinongwe'a'","Chinongwe","Ruangwa DC","lindi","chinongwe-chinongwe'a'",0.196969696969697,1,NA
"46","chipole","chipole","masasi.dc","mtwara","chiola","not set","Chiola","Nachingwea DC","lindi","chiola-not set",0.238095238095238,1,NA
"47","chipole","mumbaka","masasi.dc","mtwara","chiola","not set","Chiola","Nachingwea DC","lindi","chiola-not set",0.238095238095238,1,NA
"48","chita","melela","mlimba","mlimba","chiuta","chiuta","Mandwanga","Lindi DC","lindi","chiuta-chiuta",0.205128205128205,0.422222222222222,NA
"49","chitandi","nangwala","newala.dc","mtwara","chiwanda","chiwanda","Nkangamo","Momba DC","songwe","chiwanda-chiwanda",0.237745098039216,0.555555555555556,NA
"50","chitandi","nangwala","newala.dc","mtwara","chiwanda","chiwanda","Nkangamo","Momba DC","songwe","chiwanda-chiwanda",0.237745098039216,0.555555555555556,NA
"51","chonga","myula","nkasi.dc","rukwa","chonga","chonga","Kate","Nkasi DC","rukwa","chonga-chonga",0.17948717948718,0,NA
"52","chunya.mjini","chunya.mjini","chunya.dc","mbeya","chunya","kibaoni","Chokaa","Chunya DC","mbeya","chunya-kibaoni",0.202380952380952,0,NA
"53","dar.es.salaam","dar.es.salaam","dar.es.salaam","dar.es.salaam","masela","masela","Masela","Maswa DC","simiyu","masela-masela",0.316239316239316,0.585470085470085,NA
"54","dar.es.salaam","pugu","pugu","pugu","masela","masela","Masela","Maswa DC","simiyu","masela-masela",0.316239316239316,0.527777777777778,NA
"55","daresalamu","pugu","pugu","pugu","arafa","mbuyuni","Kigogo","Kinondoni MC","dar es salaam","arafa-mbuyuni",0.312820512820513,1,NA
"56","daresalamu","pugu","pugu","pugu","arafa","mbuyuni","Kigogo","Kinondoni MC","dar es salaam","arafa-mbuyuni",0.312820512820513,1,NA
"57","dodoma","dodoma","chamwino.bahi","chamwino.bahi","dodoma","mmasi","Madukani","Dodoma MC","dodoma","dodoma-mmasi",0.166666666666667,0.534188034188034,NA
"58","dodoma","dodoma","dodoma.cc","dodoma","dodoma","mmasi","Madukani","Dodoma MC","dodoma","dodoma-mmasi",0.166666666666667,0,NA
"59","dodoma","dodoma.mjini","dodoma.cc","dodoma","dodoma","mmasi","Madukani","Dodoma MC","dodoma","dodoma-mmasi",0.166666666666667,0,NA
"60","dodoma","kisasa","dodoma.cc","dodoma","dodoma","mmasi","Madukani","Dodoma MC","dodoma","dodoma-mmasi",0.166666666666667,0,NA
"61","dodoma.na.dar.es.salaam","dodoma.na.dar.es.salaam","dodoma.cc","dodoma","dodoma","mmasi","Madukani","Dodoma MC","dodoma","dodoma-mmasi",0.328502415458937,0,NA
"62","dudulu","dudulu","itilima.dc","simiyu","dulamu","dulami","Igwachanya","Wanging'ombe DC","njombe","dulamu-dulami",0.235042735042735,0.555555555555556,NA
"63","dungo","mziha","mvomero.dc","morogoro","dung'unyi","not set","Dung'unyi","Ikungi DC","singida","dung'unyi-not set",0.235294117647059,0.577380952380952,NA
"64","dutwa.mwasamba","dutwa.lamadi","bariadi.busega","bariadi.busega","kwamba","kwamba","Masagulu","Kilindi DC","tanga","kwamba-kwamba",0.258648758648759,0.485714285714286,NA
"65","dutwa.mwasamba","dutwa.lamadi","bariadi.busega","bariadi.busega","ukwama","ukwama","Ukwama","Makete DC","njombe","ukwama-ukwama",0.258648758648759,0.507936507936508,NA
"66","faranji","igava","momba.dc","songwe","faraja","mivumoni","Wazo","Kinondoni MC","dar es salaam","faraja-mivumoni",0.247619047619048,0.670940170940171,NA
"67","faranji","igava","momba.dc","songwe","faraja","mivumoni","Wazo","Kinondoni MC","dar es salaam","faraja-mivumoni",0.247619047619048,0.670940170940171,NA
"68","farm.17","nachingwea","masasi.dc","mtwara","faraja","mivumoni","Wazo","Kinondoni MC","dar es salaam","faraja-mivumoni",0.387301587301587,0.423076923076923,NA
"69","farm.17","nachingwea","masasi.dc","mtwara","faraja","mkatanga","Munanila","Buhigwe DC","kigoma","faraja-mkatanga",0.387301587301587,0.555555555555556,NA
"70","farm.17","nachingwea","masasi.dc","mtwara","faraja","mivumoni","Wazo","Kinondoni MC","dar es salaam","faraja-mivumoni",0.387301587301587,0.423076923076923,NA
"71","farm.17","nachingwea","masasi.dc","mtwara","faraja","mkatanga","Munanila","Buhigwe DC","kigoma","faraja-mkatanga",0.387301587301587,0.555555555555556,NA
"72","farm.17.nachingwea.mihima.lukuledi.mpanyani.ndomoni","nachingwea.mpanyani.lukuledi","nachingwea.mpanyani.lukuledi","nachingwea.mpanyani.lukuledi","imalamihayo","imalamihayo","Uyui","Tabora MC","tabora","imalamihayo-imalamihayo",0.354425973287866,0.531746031746032,NA
"73","farm.17.nachingwea.mihima.lukuledi.mpanyani.ndomoni","nachingwea.mpanyani.lukuledi","nachingwea.mpanyani.lukuledi","nachingwea.mpanyani.lukuledi","imalamihayo","imalamihayo","Kazaroho","Kaliua DC","tabora","imalamihayo-imalamihayo",0.354425973287866,0.531746031746032,NA
"74","fitumbi","magunga","chunya.dc","mbeya","itumba","itumba","Itumba","Ileje DC","songwe","itumba-itumba",0.227106227106227,1,NA
"75","gasima","gasuma","bariadi.dc","simiyu","gasuma","gasuma","Mwaubingi","Bariadi DC","simiyu","gasuma-gasuma",0.260683760683761,0,NA
"76","gasuma","gasuma","bariadi.dc","simiyu","gasuma","gasuma","Mwaubingi","Bariadi DC","simiyu","gasuma-gasuma",0.17948717948718,0,NA
"77","giliku","giliku","bariadi.tc","simiyu","kigulu","kigulu","Kigulu","Makete DC","njombe","kigulu-kigulu",0.318376068376068,0.555555555555556,NA
"78","gohe","gohee","kilindi.dc","tanga","good hope","buza","Buza","Temeke MC","dar es salaam","good hope-buza",0.238095238095238,0.482051282051282,NA
"79","gohe","gohee","kilindi.dc","tanga","good hope","buza","Buza","Temeke MC","dar es salaam","good hope-buza",0.238095238095238,0.482051282051282,NA
"80","gombe.nyumbani","lukande","lukande","lukande","mbweni","mbweni","Mbweni","Kinondoni MC","dar es salaam","mbweni-mbweni",0.271062271062271,0.557997557997558,NA
"81","halaka","hezia","mbozi.dc","songwe","kala","kala","Kala","Nkasi DC","rukwa","kala-kala",0.203703703703704,0.544444444444445,NA
"82","handeni","handeni","handeni.dc","tanga","handeni","bomani","Vibaoni","Handeni TC","tanga","handeni-bomani",0.166666666666667,0,NA
"83","handeni","handeni","tanga.cc","tanga","handeni","bomani","Vibaoni","Handeni TC","tanga","handeni-bomani",0.166666666666667,0,NA
"84","haneti","haneti","haneti","haneti","haneti","haneti","Haneti","Chamwino DC","dodoma","haneti-haneti",0.17948717948718,1,NA
"85","hatete","hatete","mbozi.dc","songwe","kate","kate","Kate","Nkasi DC","rukwa","kate-kate",0.203703703703704,0.544444444444445,NA
"86","hilumba","itongo","kwimba.dc","mwanza","ileje","itumba","Itumba","Ileje DC","songwe","ileje-itumba",0.214285714285714,0.555555555555556,NA
"87","ibilishi","ibilishi","maswa.dc","simiyu","ibililo","ibililo","Nkunga","Rungwe DC","mbeya","ibililo-ibililo",0.283333333333333,0.422222222222222,NA
"88","ibilishi","ibilishi","maswa.dc","simiyu","ibumila","ibumila","Kichiwa","Njombe DC","njombe","ibumila-ibumila",0.283333333333333,0.555555555555556,NA
"89","ibilishi","ibilishi","maswa.dc","simiyu","imiliwaha","mtila","Matola","Njombe TC","njombe","imiliwaha-mtila",0.283333333333333,0.555555555555556,NA
"90","ibilisi","katuma","tanganyika","tanganyika","ibililo","ibililo","Nkunga","Rungwe DC","mbeya","ibililo-ibililo",0.247619047619048,0.633333333333333,NA
"91","ibilisi","katuma","tanganyika","tanganyika","ibumila","ibumila","Kichiwa","Njombe DC","njombe","ibumila-ibumila",0.247619047619048,0.577777777777778,NA
"92","ibindi","ibindi","nsimbo.dc","katavi","ibindi","ibindi","Machimboni","Nsimbo DC","katavi","ibindi-ibindi",0.17948717948718,0,NA
"93","ibindi","ibindi","nsimbo.dc","katavi","ibindo","ibindo","Nyambiti","Kwimba DC","mwanza","ibindo-ibindo",0.17948717948718,0.444444444444445,NA
"94","ibolyo","ibolyo","bariadi.dc","simiyu","kibo","lyasongoro","Marangu Mashariki","Moshi DC","kilimanjaro","kibo-lyasongoro",0.2,0.52020202020202,NA
"95","idandu","namawala","mlimba","mlimba","idunda","idunda","Kichangani","Ulanga DC","morogoro","idunda-idunda",0.235042735042735,0.569444444444445,NA
"96","idandu","namawala","mlimba","mlimba","idunda","idunda","Yakobi","Njombe TC","njombe","idunda-idunda",0.235042735042735,0.444444444444445,NA
"97","idandu","namawala","mlimba","mlimba","idunda","idunda","Iyula","Mbozi DC","songwe","idunda-idunda",0.235042735042735,1,NA
"98","idandu","namawala","mlimba","mlimba","idunda","idunda","Itewe","Mbeya DC","mbeya","idunda-idunda",0.235042735042735,0.422222222222222,NA
"99","idandu","namwawala","mlimba","mlimba","idunda","idunda","Kichangani","Ulanga DC","morogoro","idunda-idunda",0.235042735042735,0.569444444444445,NA
"100","idandu","namwawala","mlimba","mlimba","idunda","idunda","Yakobi","Njombe TC","njombe","idunda-idunda",0.235042735042735,0.444444444444445,NA
"101","idandu","namwawala","mlimba","mlimba","idunda","idunda","Iyula","Mbozi DC","songwe","idunda-idunda",0.235042735042735,1,NA
"102","idandu","namwawala","mlimba","mlimba","idunda","idunda","Itewe","Mbeya DC","mbeya","idunda-idunda",0.235042735042735,0.422222222222222,NA
"103","idandu.nyumbani","namwawala","mlimba","mlimba","ndumbi","ndumbi","Mbaha","Nyasa DC","ruvuma","ndumbi-ndumbi",0.271367521367521,0.444444444444445,NA
"104","idiwili","idiwili","mbozi.dc","songwe","idiwili","idiwili","Iyula","Mbozi DC","songwe","idiwili-idiwili",0.177777777777778,0,NA
"105","idiwili","itiwili","mbozi.dc","songwe","idiwili","idiwili","Iyula","Mbozi DC","songwe","idiwili-idiwili",0.177777777777778,0,NA
"106","idumulavanu","ihowanza","muf","muf","idunda","idumilavanu","Idunda","Mufindi DC","iringa","idunda-idumilavanu",0.220538720538721,1,NA
"107","ifakara","mlabani","ifakara.tc","morogoro","ifakara","not set","Mlabani","Ifakara TC","morogoro","ifakara-not set",0.177777777777778,0,NA
"108","ifakara","mlabani","ifakara.tc","morogoro","ifakara","not set","Mlabani","Ifakara TC","morogoro","ifakara-not set",0.177777777777778,0,NA
"109","ifakara","viwanja.sitini","ifakara.tc","morogoro","ifakara","not set","Mlabani","Ifakara TC","morogoro","ifakara-not set",0.177777777777778,0,NA
"110","ifakara","viwanja.sitini","ifakara.tc","morogoro","ifakara","not set","Mlabani","Ifakara TC","morogoro","ifakara-not set",0.177777777777778,0,NA
"111","ifakara","viwanjasitini","ifakara.tc","morogoro","ifakara","not set","Mlabani","Ifakara TC","morogoro","ifakara-not set",0.177777777777778,0,NA
"112","ifakara","viwanjasitini","ifakara.tc","morogoro","ifakara","not set","Mlabani","Ifakara TC","morogoro","ifakara-not set",0.177777777777778,0,NA
"113","igaganulwa","dutwa","dutwa","dutwa","igalamu","igalamu","Malindo","Rungwe DC","mbeya","igalamu-igalamu",0.263888888888889,0.533333333333333,NA
"114","igalula","mpanda.ndogo","tanganyika","tanganyika","igula","igula","Kihorogota","Iringa DC","iringa","igula-igula",0.168831168831169,0.566666666666667,NA
"115","igangwe","nkung.ungu","chunya.dc","mbeya","misigaro","ng'washi","Buhongwa","Nyamagana MC","mwanza","misigaro-ng'washi",0.263305322128851,0.422222222222222,NA
"116","igangwe","nkung.ungu","chunya.dc","mbeya","misigaro","ng'washi","Buhongwa","Nyamagana MC","mwanza","misigaro-ng'washi",0.263305322128851,0.422222222222222,NA
"117","igawa","igawa","malinyi.dc","morogoro","igawa","igawa","Igawa","Malinyi DC","morogoro","igawa-igawa",0.181818181818182,0,NA
"118","igawa.nyumbani","igawa","malinyi.dc","morogoro","mbugani","mbugani","Mbugani","Chunya DC","mbeya","mbugani-mbugani",0.23968253968254,0.558333333333333,NA
"119","igawa.nyumbani","igawa","malinyi.dc","morogoro","mbugani","mbugani","Kitandililo","Makambako TC","njombe","mbugani-mbugani",0.23968253968254,0.638888888888889,NA
"120","igegu","igegu","bariadi.dc","simiyu","igegu","igegu","Sapiwi","Bariadi DC","simiyu","igegu-igegu",0.181818181818182,0,NA
"121","igoma","igoma","kalemela","kalemela","igoma","igoma","Iwungilo","Njombe TC","njombe","igoma-igoma",0.181818181818182,0.638888888888889,NA
"122","igoma","igoma","kalemela","kalemela","igoma","igoma","Igoma","Mbeya DC","mbeya","igoma-igoma",0.181818181818182,0.616666666666667,NA
"123","igombe","kabila","magu.dc","mwanza","igombe","igombe","Nkungulu","Magu DC","mwanza","igombe-igombe",0.17948717948718,0,NA
"124","igumbilo","milola","ulanga.dc","morogoro","igumbilo","igumbilo","Igumbilo","Iringa MC","iringa","igumbilo-igumbilo",0.176470588235294,0.472222222222222,NA
"125","igumbilo","milola","ulanga.dc","morogoro","igumbilo","igumbilo","Lupila","Makete DC","njombe","igumbilo-igumbilo",0.176470588235294,0.638888888888889,NA
"126","igumbilo.milola.na.mavimba","milola","ulanga.dc","morogoro","igumbilo","igumbilo","Igumbilo","Iringa MC","iringa","igumbilo-igumbilo",0.28409825468649,0.472222222222222,NA
"127","igumbilo.milola.na.mavimba","milola","ulanga.dc","morogoro","igumbilo","igumbilo","Lupila","Makete DC","njombe","igumbilo-igumbilo",0.28409825468649,0.638888888888889,NA
"128","igumbiro","milola","ulanga.dc","morogoro","ligumbiro","not set","Mlangali","Ludewa DC","njombe","ligumbiro-not set",0.176470588235294,0.638888888888889,NA
"129","igumbiro.nyumbani","milola","ulanga.dc","morogoro","itumba","itumba","Itumba","Ileje DC","songwe","itumba-itumba",0.259426847662142,0.472222222222222,NA
"130","iguru","iguru","bariadi.dc","simiyu","igurubi","igurubi","Igurubi","Igunga DC","tabora","igurubi-igurubi",0.222222222222222,1,NA
"131","iguru","iguru","bariadi.dc","simiyu","igurusi","igurusi","Igurusi","Mbarali DC","mbeya","igurusi-igurusi",0.222222222222222,0.422222222222222,NA
"132","iheha","mad","mbarali.dc","mbeya","ihega","ihega","Bukoli","Geita DC","geita","ihega-ihega",0.248484848484848,0.4,NA
"133","iheha","mad","mbarali.dc","mbeya","ihega","ihega","Bukoli","Geita DC","geita","ihega-ihega",0.248484848484848,0.4,NA
"134","ihenga","mofu","mlimba","mlimba","ishenga","ishenga","Kinyangiri","Mkalama DC","singida","ishenga-ishenga",0.2,0.46031746031746,NA
"135","ihowanza","ihowanza","ihowanza","ihowanza","ihowanza","ihowanza","Ihowanza","Mufindi DC","iringa","ihowanza-ihowanza",0.176470588235294,0.486111111111111,NA
"136","ihowewanga","ihowewanga","malinyi.dc","morogoro","ihowa","ihowa","Ruanda","Mbozi DC","songwe","ihowa-ihowa",0.268831168831169,0.472222222222222,NA
"137","ikizi","ikizi","nkasi.dc","rukwa","ikozi","ikozi","Kalambanzite","Sumbawanga DC","rukwa","ikozi-ikozi",0.248484848484848,0,NA
"138","ikizi","ikizi","nkasi.dc","rukwa","ikuzi","ikuzi","Runzewe Mashariki","Bukombe DC","geita","ikuzi-ikuzi",0.248484848484848,0.533333333333333,NA
"139","ikola","ikola","tanganyika","tanganyika","ikola","ikola","Ikola","Mpanda DC","katavi","ikola-ikola",0.181818181818182,0.394444444444444,NA
"140","ikuba","ikuba","ikuba","ikuba","mikuru","kibamba","Kibamba","Ubungo MC","dar es salaam","mikuru-kibamba",0.214285714285714,0.574358974358974,NA
"141","ikuba","ikuba","ikuba","ikuba","mikuru","kibamba","Kibamba","Ubungo MC","dar es salaam","mikuru-kibamba",0.214285714285714,0.574358974358974,NA
"142","ikuba","ikuba","wilaya","wilaya","mikuru","kibamba","Kibamba","Ubungo MC","dar es salaam","mikuru-kibamba",0.214285714285714,0.504273504273504,NA
"143","ikuba","ikuba","wilaya","wilaya","mikuru","kibamba","Kibamba","Ubungo MC","dar es salaam","mikuru-kibamba",0.214285714285714,0.504273504273504,NA
"144","ikulimambo","uhenga","wanging.ombe.dc","njombe","mkulima","msilale","Chato","Chato DC","geita","mkulima-msilale",0.263888888888889,1,NA
"145","ikulimambo","uhenga","wanging.ombe.dc","njombe","mkulima","msilale","Chato","Chato DC","geita","mkulima-msilale",0.263888888888889,1,NA
"146","ikunguligu","ikunguligu","itilima.dc","simiyu","ikungu","ikungu","Marambo","Nachingwea DC","lindi","ikungu-ikungu",0.172934472934473,0.422222222222222,NA
"147","ilambilole","kising.a","iringa.dc","iringa","ilambilole","ilambilole","Nduli","Iringa DC","iringa","ilambilole-ilambilole",0.174603174603175,0,NA
"148","ilambo","kilangawqna","sumbawanga.dc","rukwa","ilambo","ilambo","Ibumu","Kilolo DC","iringa","ilambo-ilambo",0.17948717948718,0.422222222222222,NA
"149","ilambo","kilyamatundu","sumbawanga.dc","rukwa","ilambo","ilambo","Ibumu","Kilolo DC","iringa","ilambo-ilambo",0.17948717948718,0.422222222222222,NA
"150","ilambo","kolangawana","sumbawanga.dc","rukwa","ilambo","ilambo","Ibumu","Kilolo DC","iringa","ilambo-ilambo",0.17948717948718,0.422222222222222,NA
"151","ilangawana","ilangawana","sumbawanga.dc","rukwa","kilangawana","kilangawana","Kipeta","Sumbawanga DC","rukwa","kilangawana-kilangawana",0.188405797101449,0,NA
"152","ilengo","mkomba","momba.dc","songwe","lengo","lengo","Mchemo","Newala DC","mtwara","lengo-lengo",0.237373737373737,0.555555555555556,NA
"153","ilomba","idiwili","mbozi.dc","songwe","ilomba","ilomba","Masoko","Mbeya DC","mbeya","ilomba-ilomba",0.17948717948718,1,NA
"154","imalauduki","kamsisi","mlele.dc","katavi","kamuli","kamuli","Kamuli","Kyerwa DC","kagera","kamuli-kamuli",0.247008547008547,0.333333333333333,NA
"155","imalilosongwe","imalilosongwe","songwe.dc","songwe","imalilo songwe","imalilosongwe","Imalilosongwe","Mbarali DC","mbeya","imalilo songwe-imalilosongwe",0.178571428571429,1,NA
"156","imarauduki","kamsisi","mlele.dc","katavi","ditima","guduwi","Guduwi","Bariadi TC","simiyu","ditima-guduwi",0.253846153846154,0.555555555555556,NA
"157","iringa","ipogoro","iringa.dc","iringa","iringa","magereza","Gangilonga","Iringa MC","iringa","iringa-magereza",0.2,0,NA
"158","iringa","iringa","iringa.mc","iringa","iringa","magereza","Gangilonga","Iringa MC","iringa","iringa-magereza",0.2,0,NA
"159","iringa.manispaa","iringa.manispaa","iringa.mc","iringa","mangisani","mtambani","Jangwani","Ilala MC","dar es salaam","mangisani-mtambani",0.261111111111111,0.670940170940171,NA
"160","iringa.manispaa","iringa.manispaa","iringa.mc","iringa","mangisani","mtambani","Jangwani","Ilala MC","dar es salaam","mangisani-mtambani",0.261111111111111,0.670940170940171,NA
"161","irunda","irunda","irunda","irunda","ifunda","ifunda","Ifunda","Iringa DC","iringa","ifunda-ifunda",0.260683760683761,0.222222222222222,NA
"162","irunda","irunda","irunda","irunda","igunda","igunda","Igunda","Ushetu DC","shinyanga","igunda-igunda",0.260683760683761,0.388888888888889,NA
"163","irunda","irunda","irunda","irunda","igunda","igunda","Myovizi","Mbozi DC","songwe","igunda-igunda",0.260683760683761,0.555555555555556,NA
"164","isale","isale","namanyere","namanyere","isale","isale","Isale","Nkasi DC","rukwa","isale-isale",0.181818181818182,0.562962962962963,NA
"165","isale","isunta","namanyere","namanyere","isale","isale","Isale","Nkasi DC","rukwa","isale-isale",0.181818181818182,0.562962962962963,NA
"166","isale","kakoma","nkasi.dc","rukwa","isale","isale","Isale","Nkasi DC","rukwa","isale-isale",0.181818181818182,0,NA
"167","isangawana","isangawana","chunya.dc","mbeya","isanga","isanga","Isanga","Maswa DC","simiyu","isanga-isanga",0.135897435897436,0.422222222222222,NA
"168","isangawana","isangawana","chunya.dc","mbeya","isanga","isanga","Isanga","Bariadi TC","simiyu","isanga-isanga",0.135897435897436,0.422222222222222,NA
"169","isangha","isangha","bahi.dc","dodoma","isangha","isangha","Chibelela","Bahi DC","dodoma","isangha-isangha",0.177777777777778,0,NA
"170","isanzu","manda","momba.dc","songwe","isanzu","isanzu","Isanzu","Nzega DC","tabora","isanzu-isanzu",0.17948717948718,0.555555555555556,NA
"171","isanzu","manda","momba.dc","songwe","isanzu","isanzu","Isanzu","Nzega DC","tabora","isanzu-isanzu",0.17948717948718,0.555555555555556,NA
"172","isazya","mkomba","momba.dc","songwe","isanzu","isanzu","Isanzu","Nzega DC","tabora","isanzu-isanzu",0.260683760683761,0.555555555555556,NA
"173","isazya","mkomba","momba.dc","songwe","isanzu","isanzu","Isanzu","Nzega DC","tabora","isanzu-isanzu",0.260683760683761,0.555555555555556,NA
"174","isunta","isunta","namanyere","namanyere","kisemu","mtamba","Kisemu","Morogoro DC","morogoro","kisemu-mtamba",0.260683760683761,0.509259259259259,NA
