"","place","ward.A","dist.A","reg.A","Facility_N","Village_St","ward.X","dist.X","reg.X","place.X","place.dist","reg.A.dist","dist"
"686","nchinila","nchinila","bahi.dc","dodoma","mengwe chini","ngareni","Ngoyoni","Rombo DC","kilimanjaro","mengwe chini-ngareni",0.258333333333333,0.494949494949495,NA
"687","ndagalu","kabila","magu.dc","mwanza","inala","ngulla","Ngulla","Kwimba DC","mwanza","inala-ngulla",0.26984126984127,0,NA
"688","ndapo","kinyika","makete.dc","njombe","ndapo","ndapo","Matamba","Makete DC","njombe","ndapo-ndapo",0.181818181818182,0,NA
"689","ndibwa","ndibwa","masasi.dc","mtwara","upendo","kibaoni","Hai Mjini","Hai DC","kilimanjaro","upendo-kibaoni",0.26984126984127,0.409090909090909,NA
"690","ndibwa","ndibwa","masasi.dc","mtwara","upendo","kibaoni","Hai Mjini","Hai DC","kilimanjaro","upendo-kibaoni",0.26984126984127,0.409090909090909,NA
"691","ndomoni","nachingwea","nachingwea.dc","lindi","upendo morden","kizinga","Mbagala","Temeke MC","dar es salaam","upendo morden-kizinga",0.222222222222222,0.574358974358974,NA
"692","ndomoni","nachingwea","nachingwea.dc","lindi","upendo morden","kizinga","Mbagala","Temeke MC","dar es salaam","upendo morden-kizinga",0.222222222222222,0.574358974358974,NA
"693","nduha","kabila","kwimba.dc","mwanza","mendo","ihalo","Ilola","Shinyanga DC","shinyanga","mendo-ihalo",0.278787878787879,0.5,NA
"694","newala","newala","masasi.dc","mtwara","newala","majengo","Mtonya","Newala TC","mtwara","newala-majengo",0.19047619047619,0,NA
"695","newala","newala","newala.dc","mtwara","newala","majengo","Mtonya","Newala TC","mtwara","newala-majengo",0.19047619047619,0,NA
"696","newala.na.nanyumbu","newala.na.nanyumbu","newala.na.nanyumbu","newala.na.nanyumbu","nala","nala","Nala","Dodoma MC","dodoma","nala-nala",0.277777777777778,0.592592592592593,NA
"697","ng.wang.aranga","ng.wang.aranga","kwimba.dc","mwanza","ngana","ngana","Ngana","Kyela DC","mbeya","ngana-ngana",0.253727753727754,0.422222222222222,NA
