"","place","ward.A","dist.A","reg.A","pwd.A","wd.A","wdr.A","ward.B","dist.B","reg.B","wd.B","wdr.B","dist.A.dist","reg.A.dist","ward.A.dist","dist","dist_sum","acceptWDR"
"19","bariadi.iputi","mbuga","ulanga.dc","morogoro","bariadi.iputi-mbuga-ulanga.dc","mbuga-ulanga.dc","mbuga-ulanga.dc-morogoro","mbuga","ulanga.dc","morogoro","mbuga-ulanga.dc","mbuga-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"20","biro","biro","malinyi.dc","morogoro","biro-biro-malinyi.dc","biro-malinyi.dc","biro-malinyi.dc-morogoro","biro","malinyi.dc","morogoro","biro-malinyi.dc","biro-malinyi.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"21","biro","biro","ulanga.dc","morogoro","biro-biro-ulanga.dc","biro-ulanga.dc","biro-ulanga.dc-morogoro","lupiro","ulanga.dc","morogoro","lupiro-ulanga.dc","lupiro-ulanga.dc-morogoro",0,0,0.25,NA,0.25,NA
"22","biti","biti","bariadi.dc","simiyu","biti-biti-bariadi.dc","biti-bariadi.dc","biti-bariadi.dc-simiyu","sapiwi","bariadi.dc","simiyu","sapiwi-bariadi.dc","sapiwi-bariadi.dc-simiyu",0,0,0.388888888888889,NA,0.388888888888889,NA
"23","bomba.mbili","bomba.mbili","songea.dc","ruvuma","bomba.mbili-bomba.mbili-songea.dc","bomba.mbili-songea.dc","bomba.mbili-songea.dc-ruvuma","bombambili","songea.mc","ruvuma","bombambili-songea.mc","bombambili-songea.mc-ruvuma",0.0740740740740742,0,0.0303030303030303,NA,0.104377104377104,NA
"24","budekwa","budekwa","maswa.dc","simiyu","budekwa-budekwa-maswa.dc","budekwa-maswa.dc","budekwa-maswa.dc-simiyu","budekwa","maswa.dc","simiyu","budekwa-maswa.dc","budekwa-maswa.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"25","budula","ngudu","kwimba.dc","mwanza","budula-ngudu-kwimba.dc","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza","ngudu","kwimba.dc","mwanza","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"26","bugunguli","buhunda","misungwi.dc","mwanza","bugunguli-buhunda-misungwi.dc","buhunda-misungwi.dc","buhunda-misungwi.dc-mwanza","buhingo","misungwi.dc","mwanza","buhingo-misungwi.dc","buhingo-misungwi.dc-mwanza",0,0,0.285714285714286,NA,0.285714285714286,NA
"27","buhingo","buhingo","misungwi.dc","mwanza","buhingo-buhingo-misungwi.dc","buhingo-misungwi.dc","buhingo-misungwi.dc-mwanza","buhingo","misungwi.dc","mwanza","buhingo-misungwi.dc","buhingo-misungwi.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"28","buhunda","isesa","misungwi.dc","mwanza","buhunda-isesa-misungwi.dc","isesa-misungwi.dc","isesa-misungwi.dc-mwanza","isesa","misungwi.dc","mwanza","isesa-misungwi.dc","isesa-misungwi.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"29","bumhala","buhala","bariadi.dc","simiyu","bumhala-buhala-bariadi.dc","buhala-bariadi.dc","buhala-bariadi.dc-simiyu","bunamhala","bariadi.tc","simiyu","bunamhala-bariadi.tc","bunamhala-bariadi.tc-simiyu",0.0666666666666668,0,0.222222222222222,NA,0.288888888888889,NA
"30","bunamala","bunamala","bariadi.tc","simiyu","bunamala-bunamala-bariadi.tc","bunamala-bariadi.tc","bunamala-bariadi.tc-simiyu","bunamhala","bariadi.tc","simiyu","bunamhala-bariadi.tc","bunamhala-bariadi.tc-simiyu",0,0,0.0370370370370371,NA,0.0370370370370371,"acceptWDR2"
"31","bunamhala","bunamhala","itilima.dc","simiyu","bunamhala-bunamhala-itilima.dc","bunamhala-itilima.dc","bunamhala-itilima.dc-simiyu","nyamalapa","itilima.dc","simiyu","nyamalapa-itilima.dc","nyamalapa-itilima.dc-simiyu",0,0,0.222222222222222,NA,0.222222222222222,NA
"32","bunamhala","mwamapalala","itilima.dc","simiyu","bunamhala-mwamapalala-itilima.dc","mwamapalala-itilima.dc","mwamapalala-itilima.dc-simiyu","mwamapalala","itilima.dc","simiyu","mwamapalala-itilima.dc","mwamapalala-itilima.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"33","bunamhala","nyamalapa","itilima.dc","simiyu","bunamhala-nyamalapa-itilima.dc","nyamalapa-itilima.dc","nyamalapa-itilima.dc-simiyu","nyamalapa","itilima.dc","simiyu","nyamalapa-itilima.dc","nyamalapa-itilima.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"34","bunamhala.mbugani","nyamalapa","itilima.dc","simiyu","bunamhala.mbugani-nyamalapa-itilima.dc","nyamalapa-itilima.dc","nyamalapa-itilima.dc-simiyu","nyamalapa","itilima.dc","simiyu","nyamalapa-itilima.dc","nyamalapa-itilima.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"35","bungulwa","bungulwa","kwimba.dc","mwanza","bungulwa-bungulwa-kwimba.dc","bungulwa-kwimba.dc","bungulwa-kwimba.dc-mwanza","bungulwa","kwimba.dc","mwanza","bungulwa-kwimba.dc","bungulwa-kwimba.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"36","bungulwa","nhundi","kwimba.dc","mwanza","bungulwa-nhundi-kwimba.dc","nhundi-kwimba.dc","nhundi-kwimba.dc-mwanza","ng.hundi","kwimba.dc","mwanza","ng.hundi-kwimba.dc","ng.hundi-kwimba.dc-mwanza",0,0,0.0833333333333334,NA,0.0833333333333334,"acceptWDR2"
"37","bupandagila","nyakabindi","bariadi.tc","simiyu","bupandagila-nyakabindi-bariadi.tc","nyakabindi-bariadi.tc","nyakabindi-bariadi.tc-simiyu","nyakabindi","bariadi.tc","simiyu","nyakabindi-bariadi.tc","nyakabindi-bariadi.tc-simiyu",0,0,0,NA,0,"acceptWDR0"
"38","bushigwamara","kalemala","busega.dc","simiyu","bushigwamara-kalemala-busega.dc","kalemala-busega.dc","kalemala-busega.dc-simiyu","kalemela","busega.dc","simiyu","kalemela-busega.dc","kalemela-busega.dc-simiyu",0,0,0.130952380952381,NA,0.130952380952381,"acceptWDR2"
"39","bushitara","busilili","maswa.dc","simiyu","bushitara-busilili-maswa.dc","busilili-maswa.dc","busilili-maswa.dc-simiyu","busilili","maswa.dc","simiyu","busilili-maswa.dc","busilili-maswa.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"40","busulwe","lyoma","kwimba.dc","mwanza","busulwe-lyoma-kwimba.dc","lyoma-kwimba.dc","lyoma-kwimba.dc-mwanza","lyoma","kwimba.dc","mwanza","lyoma-kwimba.dc","lyoma-kwimba.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"41","butu","ngoheranga","malinyi.dc","morogoro","butu-ngoheranga-malinyi.dc","ngoheranga-malinyi.dc","ngoheranga-malinyi.dc-morogoro","ngoheranga","malinyi.dc","morogoro","ngoheranga-malinyi.dc","ngoheranga-malinyi.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"42","buzunza","kidinda","bariadi.tc","simiyu","buzunza-kidinda-bariadi.tc","kidinda-bariadi.tc","kidinda-bariadi.tc-simiyu","isanga","bariadi.tc","simiyu","isanga-bariadi.tc","isanga-bariadi.tc-simiyu",0,0,0.357142857142857,NA,0.357142857142857,NA
"43","bwage","mzia","mvomero.dc","morogoro","bwage-mzia-mvomero.dc","mzia-mvomero.dc","mzia-mvomero.dc-morogoro","mtibwa","mvomero.dc","morogoro","mtibwa-mvomero.dc","mtibwa-mvomero.dc-morogoro",0,0,0.25,NA,0.25,NA
"44","bwage","mziha","mvomero.dc","morogoro","bwage-mziha-mvomero.dc","mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mhonda","mvomero.dc","morogoro","mhonda-mvomero.dc","mhonda-mvomero.dc-morogoro",0,0,0.3,NA,0.3,NA
"45","bwage","mziha","mvomero.dc","morogoro","bwage-mziha-mvomero.dc","mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mtibwa","mvomero.dc","morogoro","mtibwa-mvomero.dc","mtibwa-mvomero.dc-morogoro",0,0,0.3,NA,0.3,NA
"46","bwage.nyumbani","kanga","mvomero.dc","morogoro","bwage.nyumbani-kanga-mvomero.dc","kanga-mvomero.dc","kanga-mvomero.dc-morogoro","kanga","mvomero.dc","morogoro","kanga-mvomero.dc","kanga-mvomero.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"47","bwage.nyumbani","mziha","mvomero.dc","morogoro","bwage.nyumbani-mziha-mvomero.dc","mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mhonda","mvomero.dc","morogoro","mhonda-mvomero.dc","mhonda-mvomero.dc-morogoro",0,0,0.3,NA,0.3,NA
"48","bwage.nyumbani","mziha","mvomero.dc","morogoro","bwage.nyumbani-mziha-mvomero.dc","mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mtibwa","mvomero.dc","morogoro","mtibwa-mvomero.dc","mtibwa-mvomero.dc-morogoro",0,0,0.3,NA,0.3,NA
"49","bwawani","chikopelo","bahi.dc","dodoma","bwawani-chikopelo-bahi.dc","chikopelo-bahi.dc","chikopelo-bahi.dc-dodoma","chikola","bahi.dc","dodoma","chikola-bahi.dc","chikola-bahi.dc-dodoma",0,0,0.158730158730159,NA,0.158730158730159,NA
"50","bwawani","kiberenge","ifakara.tc","morogoro","bwawani-kiberenge-ifakara.tc","kiberenge-ifakara.tc","kiberenge-ifakara.tc-morogoro","kibaoni","ifakara.tc","morogoro","kibaoni-ifakara.tc","kibaoni-ifakara.tc-morogoro",0,0,0.328042328042328,NA,0.328042328042328,NA
"51","byuna","mwadobana","bariadi.dc","simiyu","byuna-mwadobana-bariadi.dc","mwadobana-bariadi.dc","mwadobana-bariadi.dc-simiyu","madobana","bariadi.dc","simiyu","madobana-bariadi.dc","madobana-bariadi.dc-simiyu",0,0,0.0370370370370371,NA,0.0370370370370371,"acceptWDR2"
"52","chabutwa","mkula","busega.dc","simiyu","chabutwa-mkula-busega.dc","mkula-busega.dc","mkula-busega.dc-simiyu","mkula","busega.dc","simiyu","mkula-busega.dc","mkula-busega.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"53","chala","chala","namanyere","namanyere","chala-chala-namanyere","chala-namanyere","chala-namanyere-namanyere","lalaji","hanang.dc","manyara","lalaji-hanang.dc","lalaji-hanang.dc-manyara",0.453703703703704,0.26984126984127,0.3,NA,1.02354497354497,NA
"54","chala","chala","nkasi.dc","rukwa","chala-chala-nkasi.dc","chala-nkasi.dc","chala-nkasi.dc-rukwa","chala","nkasi.dc","rukwa","chala-nkasi.dc","chala-nkasi.dc-rukwa",0,0,0,NA,0,"acceptWDR0"
"55","chalinze","chalinze","chalinze.dc","pwani","chalinze-chalinze-chalinze.dc","chalinze-chalinze.dc","chalinze-chalinze.dc-pwani","mkange","chalinze.dc","pwani","mkange-chalinze.dc","mkange-chalinze.dc-pwani",0,0,0.375,NA,0.375,NA
"56","chalisuka","madibila","mbarali.dc","mbeya","chalisuka-madibila-mbarali.dc","madibila-mbarali.dc","madibila-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0.0833333333333334,NA,0.0833333333333334,"acceptWDR2"
"57","chalisuka","madibira","mbarali.dc","mbeya","chalisuka-madibira-mbarali.dc","madibira-mbarali.dc","madibira-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"58","chalisuka","madibira","mufindi.dc","iringa","chalisuka-madibira-mufindi.dc","madibira-mufindi.dc","madibira-mufindi.dc-iringa","mapanda","mufindi.dc","iringa","mapanda-mufindi.dc","mapanda-mufindi.dc-iringa",0,0,0.30952380952381,NA,0.30952380952381,NA
"59","chalisuka.madibira","madibira","mbarali.dc","mbeya","chalisuka.madibira-madibira-mbarali.dc","madibira-mbarali.dc","madibira-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"60","chamalendi","chamalendi","mpimbwe.dc","katavi","chamalendi-chamalendi-mpimbwe.dc","chamalendi-mpimbwe.dc","chamalendi-mpimbwe.dc-katavi","mwamapuli","mpimbwe.dc","katavi","mwamapuli-mpimbwe.dc","mwamapuli-mpimbwe.dc-katavi",0,0,0.381481481481482,NA,0.381481481481482,NA
"61","chamdindi","nyang.oro","iringa.dc","iringa","chamdindi-nyang.oro-iringa.dc","nyang.oro-iringa.dc","nyang.oro-iringa.dc-iringa","nyang.oro","iringa.dc","iringa","nyang.oro-iringa.dc","nyang.oro-iringa.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"62","chamela","chamela","kwimba.dc","mwanza","chamela-chamela-kwimba.dc","chamela-kwimba.dc","chamela-kwimba.dc-mwanza","walla","kwimba.dc","mwanza","walla-kwimba.dc","walla-kwimba.dc-mwanza",0,0,0.323809523809524,NA,0.323809523809524,NA
"63","chamela","ngudu","kwimba.dc","mwanza","chamela-ngudu-kwimba.dc","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza","ngudu","kwimba.dc","mwanza","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"64","chamgasa","kalemela","busega.dc","simiyu","chamgasa-kalemela-busega.dc","kalemela-busega.dc","kalemela-busega.dc-simiyu","kalemela","busega.dc","simiyu","kalemela-busega.dc","kalemela-busega.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"65","chandulu","haya","magu.dc","mwanza","chandulu-haya-magu.dc","haya-magu.dc","haya-magu.dc-mwanza","mwamanga","magu.dc","mwanza","mwamanga-magu.dc","mwamanga-magu.dc-mwanza",0,0,0.416666666666667,NA,0.416666666666667,NA
"66","chandulu","haya","magu.dc","mwanza","chandulu-haya-magu.dc","haya-magu.dc","haya-magu.dc-mwanza","kahangara","magu.dc","mwanza","kahangara-magu.dc","kahangara-magu.dc-mwanza",0,0,0.416666666666667,NA,0.416666666666667,NA
"67","chandulu","haya","magu.dc","mwanza","chandulu-haya-magu.dc","haya-magu.dc","haya-magu.dc-mwanza","shishani","magu.dc","mwanza","shishani-magu.dc","shishani-magu.dc-mwanza",0,0,0.416666666666667,NA,0.416666666666667,NA
"68","changata","igava","mbarali.dc","mbeya","changata-igava-mbarali.dc","igava-mbarali.dc","igava-mbarali.dc-mbeya","igava","mbarali.dc","mbeya","igava-mbarali.dc","igava-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"69","chanikanguo","chanikanguo","masasi.dc","mtwara","chanikanguo-chanikanguo-masasi.dc","chanikanguo-masasi.dc","chanikanguo-masasi.dc-mtwara","chigugu","masasi.dc","mtwara","chigugu-masasi.dc","chigugu-masasi.dc-mtwara",0,0,0.277056277056277,NA,0.277056277056277,NA
"70","chanikanguocha","chanikanguo","masasi.dc","mtwara","chanikanguocha-chanikanguo-masasi.dc","chanikanguo-masasi.dc","chanikanguo-masasi.dc-mtwara","chigugu","masasi.dc","mtwara","chigugu-masasi.dc","chigugu-masasi.dc-mtwara",0,0,0.277056277056277,NA,0.277056277056277,NA
"71","chapwa","chapwa","mbozi.dc","songwe","chapwa-chapwa-mbozi.dc","chapwa-mbozi.dc","chapwa-mbozi.dc-songwe","vwawa","mbozi.dc","songwe","vwawa-mbozi.dc","vwawa-mbozi.dc-songwe",0,0,0.3,NA,0.3,NA
"72","chasa","babayu","chemba.dc","dodoma","chasa-babayu-chemba.dc","babayu-chemba.dc","babayu-chemba.dc-dodoma","babayu","bahi.dc","dodoma","babayu-bahi.dc","babayu-bahi.dc-dodoma",0.328042328042328,0,0,NA,0.328042328042328,"acceptWDR1"
"73","chase","babayu","bahi.dc","dodoma","chase-babayu-bahi.dc","babayu-bahi.dc","babayu-bahi.dc-dodoma","babayu","bahi.dc","dodoma","babayu-bahi.dc","babayu-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"74","chase","babayu","chemba.dc","dodoma","chase-babayu-chemba.dc","babayu-chemba.dc","babayu-chemba.dc-dodoma","babayu","bahi.dc","dodoma","babayu-bahi.dc","babayu-bahi.dc-dodoma",0.328042328042328,0,0,NA,0.328042328042328,"acceptWDR1"
"75","chase","makorongo","bahi.dc","dodoma","chase-makorongo-bahi.dc","makorongo-bahi.dc","makorongo-bahi.dc-dodoma","makanda","bahi.dc","dodoma","makanda-bahi.dc","makanda-bahi.dc-dodoma",0,0,0.328042328042328,NA,0.328042328042328,NA
"76","chase","makorongo","bahi.dc","dodoma","chase-makorongo-bahi.dc","makorongo-bahi.dc","makorongo-bahi.dc-dodoma","makorongo","chemba.dc","dodoma","makorongo-chemba.dc","makorongo-chemba.dc-dodoma",0.328042328042328,0,0,NA,0.328042328042328,"acceptWDR1"
"77","chasi","babayu","chemba.dc","dodoma","chasi-babayu-chemba.dc","babayu-chemba.dc","babayu-chemba.dc-dodoma","babayu","bahi.dc","dodoma","babayu-bahi.dc","babayu-bahi.dc-dodoma",0.328042328042328,0,0,NA,0.328042328042328,"acceptWDR1"
"78","chenje","kate","nkasi.dc","rukwa","chenje-kate-nkasi.dc","kate-nkasi.dc","kate-nkasi.dc-rukwa","kate","nkasi.dc","rukwa","kate-nkasi.dc","kate-nkasi.dc-rukwa",0,0,0,NA,0,"acceptWDR0"
"79","chibelela","chibelela","bahi.dc","dodoma","chibelela-chibelela-bahi.dc","chibelela-bahi.dc","chibelela-bahi.dc-dodoma","chibelela","bahi.dc","dodoma","chibelela-bahi.dc","chibelela-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"80","chibelela","chibelela","dodoma.cc","dodoma","chibelela-chibelela-dodoma.cc","chibelela-dodoma.cc","chibelela-dodoma.cc-dodoma","chihanga","dodoma.cc","dodoma","chihanga-dodoma.cc","chihanga-dodoma.cc-dodoma",0,0,0.351851851851852,NA,0.351851851851852,NA
"81","chibuji","nyang.honga","misungwi.dc","mwanza","chibuji-nyang.honga-misungwi.dc","nyang.honga-misungwi.dc","nyang.honga-misungwi.dc-mwanza","usagara","misungwi.dc","mwanza","usagara-misungwi.dc","usagara-misungwi.dc-mwanza",0,0,0.432900432900433,NA,0.432900432900433,NA
"82","chibuji","nyangh.onge","misungwi.dc","mwanza","chibuji-nyangh.onge-misungwi.dc","nyangh.onge-misungwi.dc","nyangh.onge-misungwi.dc-mwanza","nyanguge","magu.dc","mwanza","nyanguge-magu.dc","nyanguge-magu.dc-mwanza",0.254689754689755,0,0.162878787878788,NA,0.417568542568543,NA
"83","chibuji","nyangh.ongwa","misungwi.dc","mwanza","chibuji-nyangh.ongwa-misungwi.dc","nyangh.ongwa-misungwi.dc","nyangh.ongwa-misungwi.dc-mwanza","usagara","misungwi.dc","mwanza","usagara-misungwi.dc","usagara-misungwi.dc-mwanza",0,0,0.44047619047619,NA,0.44047619047619,NA
"84","chibwini","mwena","masasi.dc","mtwara","chibwini-mwena-masasi.dc","mwena-masasi.dc","mwena-masasi.dc-mtwara","mwena","masasi.dc","mtwara","mwena-masasi.dc","mwena-masasi.dc-mtwara",0,0,0,NA,0,"acceptWDR0"
"85","chidilo","ibugule","bahi.dc","dodoma","chidilo-ibugule-bahi.dc","ibugule-bahi.dc","ibugule-bahi.dc-dodoma","ibugule","bahi.dc","dodoma","ibugule-bahi.dc","ibugule-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"86","chidilo","mpalanga","bahi.dc","dodoma","chidilo-mpalanga-bahi.dc","mpalanga-bahi.dc","mpalanga-bahi.dc-dodoma","mpalanga","bahi.dc","dodoma","mpalanga-bahi.dc","mpalanga-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"87","chifutuka","chifutuka","bahi.dc","dodoma","chifutuka-chifutuka-bahi.dc","chifutuka-bahi.dc","chifutuka-bahi.dc-dodoma","chikola","bahi.dc","dodoma","chikola-bahi.dc","chikola-bahi.dc-dodoma",0,0,0.328042328042328,NA,0.328042328042328,NA
"88","chigawe","namalenga","masasi.dc","mtwara","chigawe-namalenga-masasi.dc","namalenga-masasi.dc","namalenga-masasi.dc-mtwara","namalenga","masasi.dc","mtwara","namalenga-masasi.dc","namalenga-masasi.dc-mtwara",0,0,0,NA,0,"acceptWDR0"
"89","chigongwe","chigongwe","dodoma.cc","dodoma","chigongwe-chigongwe-dodoma.cc","chigongwe-dodoma.cc","chigongwe-dodoma.cc-dodoma","chigongwe","dodoma.cc","dodoma","chigongwe-dodoma.cc","chigongwe-dodoma.cc-dodoma",0,0,0,NA,0,"acceptWDR0"
"90","chigugu","chigugu","masasi.dc","mtwara","chigugu-chigugu-masasi.dc","chigugu-masasi.dc","chigugu-masasi.dc-mtwara","chigugu","masasi.dc","mtwara","chigugu-masasi.dc","chigugu-masasi.dc-mtwara",0,0,0,NA,0,"acceptWDR0"
"91","chiguluka","chiguluka","bahi.dc","dodoma","chiguluka-chiguluka-bahi.dc","chiguluka-bahi.dc","chiguluka-bahi.dc-dodoma","chikola","bahi.dc","dodoma","chikola-bahi.dc","chikola-bahi.dc-dodoma",0,0,0.243386243386243,NA,0.243386243386243,NA
"92","chiguluka","chipanga","bahi.dc","dodoma","chiguluka-chipanga-bahi.dc","chipanga-bahi.dc","chipanga-bahi.dc-dodoma","chipanga","bahi.dc","dodoma","chipanga-bahi.dc","chipanga-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"93","chihanga","chihanga","dodoma.cc","dodoma","chihanga-chihanga-dodoma.cc","chihanga-dodoma.cc","chihanga-dodoma.cc-dodoma","chihanga","dodoma.cc","dodoma","chihanga-dodoma.cc","chihanga-dodoma.cc-dodoma",0,0,0,NA,0,"acceptWDR0"
"94","chikola","chikola","bahi.dc","dodoma","chikola-chikola-bahi.dc","chikola-bahi.dc","chikola-bahi.dc-dodoma","chikola","bahi.dc","dodoma","chikola-bahi.dc","chikola-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"95","chikole","kangakero","malinyi.dc","morogoro","chikole-kangakero-malinyi.dc","kangakero-malinyi.dc","kangakero-malinyi.dc-morogoro","usangule","malinyi.dc","morogoro","usangule-malinyi.dc","usangule-malinyi.dc-morogoro",0,0,0.351851851851852,NA,0.351851851851852,NA
