fid,1.mrkt.activity,1.mrkt.activity.other,1.mrkt.activity.other.code,1.activity.sell,1.activity.middleman,1.activity.trade,1.activity.buy,1.activity.slaughter,1.activity.food,1.activity.other,1.activity.multi,2.sell.placetype.code,2.sell.placetype.other,2.sell.place.name,2.sell.place.ward,2.sell.place.district,2.sell.placetype.other.code,2.sell.village,2.sell.town,2.sell.market,2.sell.abattoir,2.sell.otherplace,3.sell.reason,3.sell.reason.other,3.sell.reason.other.code,3.sell.business,3.sell.household,3.sell.medical,3.sell.school,3.sell.livestocktreatment,3.sell.restock,3.sell.religious,3.sell.slaughter,3.sell.income,3.sell.agriculture,3.sell.food,3.sell.otherreason,3.sellreason.multi,4.sell.transport.type,4.sell.transport.other,4.sell.transport.other.code,4.sell.foot,4.sell.vehicle,4.sell.cart,4.sell.frommrkt,4.sell.othertransport,4.sell.unknowntransport,6.buy.placetype.code,6.buy.placetype.other,6.buy.place.name,6.buy.place.ward,6.buy.place.district,6.buy.transport.yesno,6.buy.placetype.other.code,6.buy.village,6.buy.town,6.buy.market,6.buy.abattoir,6.buy.otherplace,7.buy.reason,7.buy.reason.other,7.buy.reason.other.code,7.buy.business,7.buy.restock,7.buy.breedstock,7.buy.fattening,7.buy.rearing,7.buy.homeconsumption,7.buy.religious,7.buy.slaughter,7.buy.food,7.buy.informaltrade,7.buy.income,7.buy.otherreason,7.buyreason.multi,8.buy.transport.type,8.buy.transport.other,8.buy.transport.other.code,8.buy.foot,8.buy.vehicle,8.buy.cart,8.buy.motorbike,8.buy.slaughter,8.buy.atmarket,8.buy.othertransport,8.buy.unknowntransport,12.buy.sell.per.month,unique.row.identifier.uuid.
1155837,2,NA,NA,0,1,0,0,0,0,0,0,3,NA,nanyumbu,nanyumbu,nanyumbu,NA,0,0,1,0,0,4 2,NA,NA,0,1,0,1,0,0,0,0,0,0,0,0,1,-66,Hajaleta mbuzi wala kondoo amewakuta mnadani,frommarket,0,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,-66,Hasafirishi ananunua na kuuzia hapo hapo mnadani,at market,0,0,0,0,0,1,0,0,1,8b62befd-e05b-11ec-9416-9440c9ab47f0
1155838,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,lumesule,lumesule,nanyumbu,NA,1,0,0,0,0,4,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,a66a62b0-e05b-11ec-9416-9440c9ab47f0
1156270,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,dungo,mziha,mvomero,NA,1,0,0,0,0,3 2 4,NA,NA,0,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,a107cfd0-e05b-11ec-9416-9440c9ab47f0
1156271,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,kwakonje,mziha,mvomero,NA,1,0,0,0,0,5,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,9b9b96f9-e05b-11ec-9416-9440c9ab47f0
1156272,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,njeura,mziha,mvomero,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,a5c9534d-e05b-11ec-9416-9440c9ab47f0
1156273,1,NA,NA,1,0,0,0,0,0,0,0,3,NA,mziha,mziha,mvomero,NA,0,0,1,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,-66,Amenunua hapo hapo mnadani,frommarket,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,99729537-e05b-11ec-9416-9440c9ab47f0
1156274,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,njeura,mziha,mvomero,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,98c83866-e05b-11ec-9416-9440c9ab47f0
1156275,3,NA,NA,0,0,1,0,0,0,0,0,3,NA,kwaruguru,negelo,kilindi,NA,0,0,1,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,1,0,0,0,0,3,NA,pugu,pugu,ilala,1,NA,0,0,1,0,0,1 6,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,1,2,NA,NA,0,1,0,0,0,0,0,0,2,934f3053-e05b-11ec-9416-9440c9ab47f0
1156276,2,NA,NA,0,1,0,0,0,0,0,0,3,NA,mziha,mziha,mvomero,NA,0,0,1,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,-66,Amenunua hapo mnadani,frommarket,0,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,1,8c960035-e05b-11ec-9416-9440c9ab47f0
1156277,4,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1,NA,kwakonje,mziha,mvomero,1,NA,1,0,0,0,0,2 5,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,1,NA,NA,1,0,0,0,0,0,0,0,1,97d665b0-e05b-11ec-9416-9440c9ab47f0
