"","place","ward.A","pwd.A","wdr.A","dist.A","ward.B","dist.B","reg.B","wdr.B","acceptWDR"
"49","chabutwa","mkula","chabutwa-mkula-busega.dc","mkula-busega.dc-simiyu","busega.dc","mkula","busega.dc","simiyu","mkula-busega.dc-simiyu","acceptWDR0"
"50","chala","chala","chala-chala-nkasi.dc","chala-nkasi.dc-rukwa","nkasi.dc","chala","nkasi.dc","rukwa","chala-nkasi.dc-rukwa","acceptWDR0"
"51","chalinze","chalinze","chalinze-chalinze-chalinze.dc","chalinze-chalinze.dc-pwani","chalinze.dc","mkange","chalinze.dc","pwani","mkange-chalinze.dc-pwani","acceptWDR2"
"52","chalisuka","madibila","chalisuka-madibila-mbarali.dc","madibila-mbarali.dc-mbeya","mbarali.dc","madibira","mbarali.dc","mbeya","madibira-mbarali.dc-mbeya","acceptWDR2"
"53","chalisuka","madibira","chalisuka-madibira-mbarali.dc","madibira-mbarali.dc-mbeya","mbarali.dc","madibira","mbarali.dc","mbeya","madibira-mbarali.dc-mbeya","acceptWDR0"
"54","chalisuka","madibira","chalisuka-madibira-mufindi.dc","madibira-mufindi.dc-iringa","mufindi.dc","mapanda","mufindi.dc","iringa","mapanda-mufindi.dc-iringa","acceptWDR2"
"55","chalisuka.madibira","madibira","chalisuka.madibira-madibira-mbarali.dc","madibira-mbarali.dc-mbeya","mbarali.dc","madibira","mbarali.dc","mbeya","madibira-mbarali.dc-mbeya","acceptWDR0"
"56","chamalendi","chamalendi","chamalendi-chamalendi-mpimbwe.dc","chamalendi-mpimbwe.dc-katavi","mpimbwe.dc","mwamapuli","mpimbwe.dc","katavi","mwamapuli-mpimbwe.dc-katavi","acceptWDR2"
"57","chamdindi","nyang.oro","chamdindi-nyang.oro-iringa.dc","nyang.oro-iringa.dc-iringa","iringa.dc","nyang.oro","iringa.dc","iringa","nyang.oro-iringa.dc-iringa","acceptWDR0"
"58","chamela","chamela","chamela-chamela-kwimba.dc","chamela-kwimba.dc-mwanza","kwimba.dc","walla","kwimba.dc","mwanza","walla-kwimba.dc-mwanza","acceptWDR2"
"59","chamela","ngudu","chamela-ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza","kwimba.dc","ngudu","kwimba.dc","mwanza","ngudu-kwimba.dc-mwanza","acceptWDR0"
"60","chamgasa","kalemela","chamgasa-kalemela-busega.dc","kalemela-busega.dc-simiyu","busega.dc","kalemela","busega.dc","simiyu","kalemela-busega.dc-simiyu","acceptWDR0"
"61","chandulu","haya","chandulu-haya-magu.dc","haya-magu.dc-mwanza","magu.dc","mwamanga","magu.dc","mwanza","mwamanga-magu.dc-mwanza","acceptWDR2"
"62","chandulu","haya","chandulu-haya-magu.dc","haya-magu.dc-mwanza","magu.dc","kahangara","magu.dc","mwanza","kahangara-magu.dc-mwanza","acceptWDR2"
"63","chandulu","haya","chandulu-haya-magu.dc","haya-magu.dc-mwanza","magu.dc","shishani","magu.dc","mwanza","shishani-magu.dc-mwanza","acceptWDR2"
"64","changata","igava","changata-igava-mbarali.dc","igava-mbarali.dc-mbeya","mbarali.dc","igava","mbarali.dc","mbeya","igava-mbarali.dc-mbeya","acceptWDR0"
