"fid","country","region.geomatch.final","district.geomatch.final","ward.geomatch.final","village.manual.final","market.manual.final","reg.ward.mrkt.final","gps.coordinates.of.the.market","unique.row.identifier.uuid."
1159822,6,"mtwara","masasi","lukuledi","lukuledi","lukuledi","mtwara-lukuledi-lukuledi","-10.5717977 38.8068269 334.9 5.0","db9a1432-e6a4-11ec-9416-9440c9ab47f0"
1159943,6,"morogoro","kilombero","kiberege","sagamaganga","sagamaganga","morogoro-kiberege-sagamaganga","-8.0696476 36.8109116 241.6 4.8","dca89162-e6a4-11ec-9416-9440c9ab47f0"
1160007,6,"mtwara","masasi","chiwale","kivukoni","chiwale","mtwara-chiwale-chiwale","-10.5853929 38.6060378 407.613525390625 4.716","043b802c-e76e-11ec-9416-9440c9ab47f0"
1160176,6,"mbeya","mbarali","utengule.usangu","utengule.usangu","utengule.usangu","mbeya-utengule.usangu-utengule.usangu","-8.6721637 33.8662568 1045.617154860869 5.0","04bbee6b-e76e-11ec-9416-9440c9ab47f0"
1160264,6,"dodoma","bahi","lamaiti","lamaiti","lamaiti","dodoma-lamaiti-lamaiti","-5.7821564 35.4809909 972.8034368570598 5.0","0484541d-e76e-11ec-9416-9440c9ab47f0"
1160427,6,"mtwara","masasi","nanganga","mwongozo","nangoo","mtwara-nanganga-nangoo","-10.4664104 39.0937505 250.1832275390625 4.824","3173f91a-e837-11ec-9416-9440c9ab47f0"
1160430,6,"mtwara","masasi","mwena","chibwini","mwena","mtwara-mwena-mwena","-10.5081024 39.0038158 298.0 4.666","318eadd8-e837-11ec-9416-9440c9ab47f0"
1160811,6,"songwe","mbozi","iyula","idiwili","idiwili","songwe-iyula-idiwili","-9.1347523 33.1536493 1909.0037182345986 5.0","e306fe9b-eb5b-11ec-9416-9440c9ab47f0"
1160860,6,"morogoro","ulanga","usangule","kiswago","salamiti","morogoro-usangule-salamiti","-8.823092 36.2566832 242.0103323809444 4.816","31337a39-e837-11ec-9416-9440c9ab47f0"
1160890,6,"lindi","nachingwea","ndomoni","ndomoni","ndomoni","lindi-ndomoni-ndomoni","-10.5375291 38.8116548 310.00372314453125 4.561","30a9f511-e837-11ec-9416-9440c9ab47f0"
1161603,6,"mtwara","newala","luchindu","tupendane","tulindane","mtwara-luchindu-tulindane","-10.9243361 39.2698108 700.806884765625 4.451","851e5185-e9c9-11ec-9416-9440c9ab47f0"
1161608,6,"mtwara","newala","mtonya","majengo","mtonya","mtwara-mtonya-mtonya","-10.9544701 39.2770396 685.2410888671875 4.873","854c4cbe-e9c9-11ec-9416-9440c9ab47f0"
1161612,6,"mtwara","newala","kitangari","kitangari","kitangari","mtwara-kitangari-kitangari","-10.6501081 39.3333043 454.5841064453125 4.824","838b3f65-e9c9-11ec-9416-9440c9ab47f0"
1161674,6,"mtwara","newala","luchindu","luchingu","luchingu","mtwara-luchindu-luchingu","-10.9385478 39.2730208 684.0 4.8","85329ba8-e9c9-11ec-9416-9440c9ab47f0"
1161678,6,"mtwara","newala","mtonya","nangwala","nangwala","mtwara-mtonya-nangwala","-10.9509015 39.2709607 707.0 5.0","85488d87-e9c9-11ec-9416-9440c9ab47f0"
1162037,6,"mtwara","masasi","mnavira","mnavira","mnavira","mtwara-mnavira-mnavira","-11.0697551 39.2535928 166.233154296875 4.808","b2501897-ea92-11ec-9416-9440c9ab47f0"
1162039,6,"ruvuma","tunduru","muhuwesi","muhesi","muhesi","ruvuma-muhuwesi-muhesi","-10.8705337 37.4516587 473.052978515625 4.931","afaebb04-ea92-11ec-9416-9440c9ab47f0"
1162085,6,"mtwara","masasi","chikolopola","chikolopola","chikolopola","mtwara-chikolopola-chikolopola","-11.0682449 39.3274016 108.6 4.925","b1c66703-ea92-11ec-9416-9440c9ab47f0"
1162635,6,"mbeya","chunya","mtanila","igangwe","shauri.moyo","mbeya-mtanila-shauri.moyo","-7.8785845 33.1321739 1386.2877886518836 5.0","e2d4398e-eb5b-11ec-9416-9440c9ab47f0"
1162780,6,"morogoro","ulanga","itete","itete","itete","morogoro-itete-itete","-8.6886787 36.4044964 311.83984375 4.63","5c0c9372-ebad-11ec-9416-9440c9ab47f0"
1162957,6,"mbeya","chunya","mamba","mamba","shinyanga","mbeya-mamba-shinyanga","-8.127488 33.1441905 1230.6280415151268 5.0","0c184e8d-ec25-11ec-9416-9440c9ab47f0"
1167758,6,"katavi","mlele","usevya","kitupa","majimoto.b","katavi-usevya-majimoto.b","-7.1165855 31.2248922 958.4 4.74","32d4f224-f1a5-11ec-80af-9440c9ab47f0"
1167807,6,"katavi","mpanda","sibwesa","sibwesa","sibwesa","katavi-sibwesa-sibwesa","-6.4997127 30.7435865 1074.5 3.9","335eb21e-f1a5-11ec-80af-9440c9ab47f0"
