"","dist_suffix","dist_nosuffix","Dist20_N","Dist20_nosuffix","Region20_N","dist_nosuffix.dist","dist_suffix.dist","dist"
"104","ngudu.dc","ngudu","tunduru.dc","tunduru","ruvuma",0.292857142857143,0.189285714285714,NA
"105","ngudu.dc","ngudu","tunduma.dc","tunduma","songwe",0.292857142857143,0.189285714285714,NA
"106","njombe.dc","njombe","njombe.dc","njombe","njombe",0,0,NA
"107","nkasi.dc","nkasi","nkasi.dc","nkasi","rukwa",0,0,NA
"108","nkuswe.dc","nkuswe","nkasi.dc","nkasi","rukwa",0.3,0.194444444444445,NA
"109","nsimbo.dc","nsimbo","nsimbo.dc","nsimbo","katavi",0,0,NA
"110","pugu.dc","pugu","uyui.dc","uyui","tabora",0.333333333333333,0.19047619047619,NA
"111","pwani.dar.es.salaam.dc","pwani.dar.es.salaam","wanging.ombe.dc","wanging.ombe","njombe",0.394736842105263,0.35959595959596,NA
"112","pwani.dc","pwani","pangani.dc","pangani","tanga",0.20952380952381,0.141666666666667,NA
"113","ruangwa.dc","ruangwa","ruangwa.dc","ruangwa","lindi",0,0,NA
"114","rujewa.dc","rujewa","ludewa.dc","ludewa","njombe",0.222222222222222,0.148148148148148,NA
"115","silali.dc","silali","siha.dc","siha","kilimanjaro",0.25,0.158730158730159,NA
"116","sinyanga.dc","sinyanga","shinyanga.dc","shinyanga","shinyanga",0.0370370370370371,0.0277777777777779,NA
"117","songea.dc","songea","songea.dc","songea","ruvuma",0,0,NA
"118","songea.mc","songea","songea.mc","songea","ruvuma",0,0,NA
"119","songwe.dc","songwe","songwe.dc","songwe","songwe",0,0,NA
"120","sumabwanga.dc","sumabwanga","sumbawanga.dc","sumbawanga","rukwa",0.0333333333333334,0.0256410256410255,NA
"121","sumbawanga.dc","sumbawanga","sumbawanga.dc","sumbawanga","rukwa",0,0,NA
"122","tanga.dc","tanga","tanga.cc","tanga","tanga",0,0.0833333333333334,NA
"123","tanganyik.dc","tanganyik","pangani.dc","pangani","tanga",0.158730158730159,0.116666666666667,NA
"124","tanganyika.dc","tanganyika","pangani.dc","pangani","tanga",0.180952380952381,0.135897435897436,NA
"125","temeke.dc","temeke","temeke.mc","temeke","dar.es.salaam",0,0.0740740740740742,NA
"126","tnganyika.dc","tnganyika","ngara.dc","ngara","kagera",0.355555555555556,0.180555555555556,NA
"127","tumaini.dc","tumaini","malinyi.dc","malinyi","morogoro",0.19047619047619,0.133333333333333,NA
"128","ulanga.dc","ulanga","ulanga.dc","ulanga","morogoro",0,0,NA
"129","uvinza.dc","uvinza","uvinza.dc","uvinza","kigoma",0,0,NA
"130","wanging.ombe.dc","wanging.ombe","wanging.ombe.dc","wanging.ombe","njombe",0,0,NA
"131","wilaya.dc","wilaya","kilwa.dc","kilwa","lindi",0.3,0.187169312169312,NA
"132","yanganyika.dc","yanganyika","pangani.dc","pangani","tanga",0.180952380952381,0.135897435897436,NA
