"place","ward.A","ward.B","ward.A.dist","wdr.A","wdr.B"
"mavimba","mavimba","mwaya",0.323809523809524,"mavimba-ulanga.dc-morogoro","mwaya-ulanga.dc-morogoro"
"mavimba","milola","ilonga",0.222222222222222,"milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro"
"mavimba.itobanilo","milola","ilonga",0.222222222222222,"milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro"
"mavimba.kaliagogo.nyumbani","milola","ilonga",0.222222222222222,"milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro"
"mavimba.kanyagatwende","milola","ilonga",0.222222222222222,"milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro"
"mavimba.kijijini","milola","ilonga",0.222222222222222,"milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro"
"mawale","parakuyo","mamboya",0.392857142857143,"parakuyo-kilosa.dc-morogoro","mamboya-kilosa.dc-morogoro"
"mayale","mayale","makoga",0.333333333333333,"mayale-wanging.ombe.dc-njombe","makoga-wanging.ombe.dc-njombe"
"mayamaya","mayamaya","makanda",0.30952380952381,"mayamaya-bahi.dc-dodoma","makanda-bahi.dc-dodoma"
"maziwa","maziwa","ibihwa",0.333333333333333,"maziwa-bahi.dc-dodoma","ibihwa-bahi.dc-dodoma"
"maziwa","maziwa","mtitaa",0.333333333333333,"maziwa-bahi.dc-dodoma","mtitaa-bahi.dc-dodoma"
"maziwa","maziwa","msaada",0.333333333333333,"maziwa-chemba.dc-dodoma","msaada-chemba.dc-dodoma"
"maziwa","maziwa","farkwa",0.333333333333333,"maziwa-chemba.dc-dodoma","farkwa-chemba.dc-dodoma"
"maziwa","nchemba","chemba",0.0476190476190477,"nchemba-chemba.dc-dodoma","chemba-chemba.dc-dodoma"
"mbagalambuyuni","kata.mkonona","likokona",0.305555555555556,"kata.mkonona-nanyumbu.dc-mtwara","likokona-nanyumbu.dc-mtwara"
"mbagalambuyuni","kata.mkonona","mkonona",0.305555555555556,"kata.mkonona-nanyumbu.dc-mtwara","mkonona-nanyumbu.dc-mtwara"
"mbalagani","mbalagani","masela",0.296296296296296,"mbalagani-maswa.dc-simiyu","masela-maswa.dc-simiyu"
"mbalagani","mbalagani","malampaka",0.296296296296296,"mbalagani-maswa.dc-simiyu","malampaka-maswa.dc-simiyu"
"mbalawawala","mbalawala","mpalanga",0.273148148148148,"mbalawala-bahi.dc-dodoma","mpalanga-bahi.dc-dodoma"
"mbangala","lupaso","nanjota",0.46031746031746,"lupaso-masasi.dc-mtwara","nanjota-masasi.dc-mtwara"
"mbangala","lupaso","sindano",0.46031746031746,"lupaso-masasi.dc-mtwara","sindano-masasi.dc-mtwara"
"mbangala","lupaso","lulindi",0.46031746031746,"lupaso-masasi.dc-mtwara","lulindi-masasi.dc-mtwara"
"mbao","mbao","mpapa",0.366666666666667,"mbao-momba.dc-songwe","mpapa-momba.dc-songwe"
"mbao","mkomba","kamsamba",0.347222222222222,"mkomba-momba.dc-songwe","kamsamba-momba.dc-songwe"
"mbao","ntungwa","myunga",0.253968253968254,"ntungwa-momba.dc-songwe","myunga-momba.dc-songwe"
"mbaragane","mbaragane","mwamanenge",0.327777777777778,"mbaragane-maswa.dc-simiyu","mwamanenge-maswa.dc-simiyu"
"mbeha","mbeha","mhonda",0.3,"mbeha-mvomero.dc-morogoro","mhonda-mvomero.dc-morogoro"
"mbeha","mbeha","mtibwa",0.3,"mbeha-mvomero.dc-morogoro","mtibwa-mvomero.dc-morogoro"
"mbeha","mbeha","melela",0.3,"mbeha-mvomero.dc-morogoro","melela-mvomero.dc-morogoro"
"mbeya","mbeya","tembela",0.33452380952381,"mbeya-mbeya.dc-mbeya","tembela-mbeya.dc-mbeya"
"mbuyu.kwa.mbuyu","mbuyu.kwa.mbuyu","masuguru",0.411111111111111,"mbuyu.kwa.mbuyu-nanyumbu.dc-mtwara","masuguru-nanyumbu.dc-mtwara"
"mchauru","makong.onda","nanganga",0.373484848484849,"makong.onda-masasi.dc-mtwara","nanganga-masasi.dc-mtwara"
"meatu.mkoa.wa.simiyu","mwanuzi","mwanhuzi",0.0416666666666667,"mwanuzi-meatu.dc-simiyu","mwanhuzi-meatu.dc-simiyu"
"meatu.simiyu","meatu","mwabuzo",0.323809523809524,"meatu-meatu.dc-simiyu","mwabuzo-meatu.dc-simiyu"
"meatu.simiyu","meatu","mwabuma",0.323809523809524,"meatu-meatu.dc-simiyu","mwabuma-meatu.dc-simiyu"
"megelo","megelo","negero",0.222222222222222,"megelo-kilindi.dc-tanga","negero-kilindi.dc-tanga"
"meta","meta","mtopwa",0.25,"meta-newala.dc-mtwara","mtopwa-newala.dc-mtwara"
"meta","newala","malatu",0.333333333333333,"newala-newala.dc-mtwara","malatu-newala.dc-mtwara"
"mfinga","mfunga","mfinga",0.111111111111111,"mfunga-sumbawanga.dc-rukwa","mfinga-sumbawanga.dc-rukwa"
"mgonaa","hombolo.bwawani","hombolo",0.177777777777778,"hombolo.bwawani-dodoma.cc-dodoma","hombolo-dodoma.cc-dodoma"
"michenzani","itete.njiwa","itete",0.181818181818182,"itete.njiwa-malinyi.dc-morogoro","itete-malinyi.dc-morogoro"
