"fid.see.mrkta.idtable.","unique.row.id","country.see.mrkta.lkpcountry.","district.region.see.mrkta.lkpregion.","ward.see.mrkta.lkpward.","village","name.of.market","gps.coordinates.of.the.market","unique.row.identifier.uuid."
1158308,1,6,63,630108,"Ihanga","Rujewa","-8.7168037 34.3909631 1068.0594060355797 5.0","5c287d35-e449-11ec-9416-9440c9ab47f0"
1158461,1,6,61,610101,"Kibaoni","Kibaoni","-7.1153872 31.1714705 961.2 4.55","870309f5-e512-11ec-9416-9440c9ab47f0"
1158600,1,6,66,660102,"Mundemu","Mundemu","-5.9299971 35.6778646 1124.8728903331437 4.8","85e28ff6-e512-11ec-9416-9440c9ab47f0"
1158924,1,6,64,640109,"Nakarara","Makong`onda","-11.0164945 39.2319285 241.0 4.833","86625219-e512-11ec-9416-9440c9ab47f0"
1159027,1,6,64,640108,"Mchauru","Mchauru","-11.0281082 39.160235 169.26971435546875 3.9","b14c7fa8-e5db-11ec-9416-9440c9ab47f0"
1159230,1,6,70,700101,"Wanging`ombe","Wanging`ombe","-8.8521811 34.6428671 1415.5339352684096 5.0","b1287ee9-e5db-11ec-9416-9440c9ab47f0"
1159272,1,6,64,640120,"Nagaga","Namalenga","-10.9013394 39.1108574 335.4 4.96","b147523b-e5db-11ec-9416-9440c9ab47f0"
1159301,1,6,65,650124,"Miyomboni","Mofu","-8.2765794 36.3240707 244.8209228515625 4.744","afcd2e43-e5db-11ec-9416-9440c9ab47f0"
1159341,1,6,64,640105,"Majembe","Mkundi","-10.7383764 39.1197694 392.0 5.0","b0d48f2e-e5db-11ec-9416-9440c9ab47f0"
1159822,1,6,64,640116,"Lukuledi","Lukuledi","-10.5717977 38.8068269 334.9 5.0","db9a1432-e6a4-11ec-9416-9440c9ab47f0"
1159943,1,6,65,650127,"Sagamaganga","Sagamaganga","-8.0696476 36.8109116 241.6 4.8","dca89162-e6a4-11ec-9416-9440c9ab47f0"
1160007,1,6,64,640118,"Kivukoni","Chiwale","-10.5853929 38.6060378 407.613525390625 4.716","043b802c-e76e-11ec-9416-9440c9ab47f0"
1160176,1,6,63,630106,"Utengule Usangu","Utengule Usangu","-8.6721637 33.8662568 1045.617154860869 5.0","04bbee6b-e76e-11ec-9416-9440c9ab47f0"
1160264,1,6,66,660115,"Lamaiti","Lamaiti","-5.7821564 35.4809909 972.8034368570598 5.0","0484541d-e76e-11ec-9416-9440c9ab47f0"
1160427,1,6,64,640107,"Mwongozo","Nangoo","-10.4664104 39.0937505 250.1832275390625 4.824","3173f91a-e837-11ec-9416-9440c9ab47f0"
1160430,1,6,64,640119,"Chibwini","Mwena","-10.5081024 39.0038158 298.0 4.666","318eadd8-e837-11ec-9416-9440c9ab47f0"
1160811,1,6,72,720102,"Idiwili","Idiwili","-9.1347523 33.1536493 1909.0037182345986 5.0","e306fe9b-eb5b-11ec-9416-9440c9ab47f0"
1160860,1,6,65,650119,"Kiswago","Salamiti","-8.823092 36.2566832 242.0103323809444 4.816","31337a39-e837-11ec-9416-9440c9ab47f0"
1160890,1,6,64,640122,"Ndomoni","Ndomoni","-10.5375291 38.8116548 310.00372314453125 4.561","30a9f511-e837-11ec-9416-9440c9ab47f0"
1161603,1,6,64,640127,"Tupendane","Tulindane","-10.9243361 39.2698108 700.806884765625 4.451","851e5185-e9c9-11ec-9416-9440c9ab47f0"
1161608,1,6,64,640126,"Majengo","Mtonya","-10.9544701 39.2770396 685.2410888671875 4.873","854c4cbe-e9c9-11ec-9416-9440c9ab47f0"
1161612,1,6,64,640123,"Kitangari","Kitangari","-10.6501081 39.3333043 454.5841064453125 4.824","838b3f65-e9c9-11ec-9416-9440c9ab47f0"
1161674,1,6,64,640124,"Luchingu","Luchingu","-10.9385478 39.2730208 684.0 4.8","85329ba8-e9c9-11ec-9416-9440c9ab47f0"
1161678,1,6,64,640125,"Nangwala","Nangwala","-10.9509015 39.2709607 707.0 5.0","85488d87-e9c9-11ec-9416-9440c9ab47f0"
1162037,1,6,64,640102,"Mnavira","Mnavira","-11.0697551 39.2535928 166.233154296875 4.808","b2501897-ea92-11ec-9416-9440c9ab47f0"
1162039,1,6,64,640102,"Muhesi","Muhesi","-10.8705337 37.4516587 473.052978515625 4.931","afaebb04-ea92-11ec-9416-9440c9ab47f0"
1162085,1,6,64,640110,"Chikolopola","Chikolopola","-11.0682449 39.3274016 108.6 4.925","b1c66703-ea92-11ec-9416-9440c9ab47f0"
1162635,1,6,63,630117,"Igangwe","Shauri moyo","-7.8785845 33.1321739 1386.2877886518836 5.0","e2d4398e-eb5b-11ec-9416-9440c9ab47f0"
1162780,1,6,65,650118,"Itete","Itete","-8.6886787 36.4044964 311.83984375 4.63","5c0c9372-ebad-11ec-9416-9440c9ab47f0"
1162957,1,6,63,630116,"Mamba","Shinyanga","-8.127488 33.1441905 1230.6280415151268 5.0","0c184e8d-ec25-11ec-9416-9440c9ab47f0"
1167758,1,6,61,610106,"Kitupa","Majimoto","-7.1165855 31.2248922 958.4 4.74","32d4f224-f1a5-11ec-80af-9440c9ab47f0"
1167807,1,6,61,610109,"Sibwesa","Sibwesa","-6.4997127 30.7435865 1074.5 3.9","335eb21e-f1a5-11ec-80af-9440c9ab47f0"
