"dist_suffix","dist_nosuffix","Dist20_N","Dist20_nosuffix","Region20_N","dist_nosuffix.dist","dist_suffix.dist","dist","acceptD0"
"mbeya.iringa.na.newala.dc","mbeya.iringa.na.newala","nyamagana.mc","nyamagana","mwanza",0.374158249158249,0.322222222222222,NA,NA
"mbozi.dc","mbozi","mbozi.dc","mbozi","songwe",0,0,NA,"accept_D0"
"meatu.dc","meatu","meatu.dc","meatu","simiyu",0,0,NA,"accept_D0"
"megelo.dc","megelo","mlele.dc","mlele","katavi",0.261111111111111,0.163359788359788,NA,NA
"mfindi.dc","mfindi","mufindi.dc","mufindi","iringa",0.0476190476190477,0.0333333333333334,NA,NA
"misasi.dc","misasi","masasi.dc","masasi","mtwara",0.177777777777778,0.115740740740741,NA,NA
"misungwi.dc","misungwi","misungwi.dc","misungwi","mwanza",0,0,NA,"accept_D0"
"mitumbati.dc","mitumbati","momba.dc","momba","songwe",0.251851851851852,0.180555555555556,NA,NA
"mkomba.dc","mkomba","momba.dc","momba","songwe",0.0555555555555556,0.0370370370370371,NA,NA
"mkonona.dc","mkonona","kondoa.dc","kondoa","dodoma",0.150793650793651,0.103703703703704,NA,NA
"mlele.dc","mlele","mlele.dc","mlele","katavi",0,0,NA,"accept_D0"
"mlimba.dc","mlimba","momba.dc","momba","songwe",0.177777777777778,0.115740740740741,NA,NA
"mmba.dc","mmba","momba.dc","momba","songwe",0.0666666666666668,0.0416666666666667,NA,NA
"momba.dc","momba","momba.dc","momba","songwe",0,0,NA,"accept_D0"
"morogoro.cc.mc.tc","morogoro","morogoro.mc","morogoro","morogoro",0,0.14795008912656,NA,"accept_D1"
"morogoro.dc","morogoro","morogoro.dc","morogoro","morogoro",0,0,NA,"accept_D0"
"mosungwi.dc","mosungwi","misungwi.dc","misungwi","mwanza",0.0833333333333334,0.0606060606060606,NA,NA
"mpanda.dc","mpanda","mpanda.dc","mpanda","katavi",0,0,NA,"accept_D0"
