"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","7. What is your main reason for buying these small ruminants? (see mrktc_lkpbuy_reason)","Unique Row Identifier (UUID)"
"977661","1","1","4","fd4f73df-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","5","fd4f832b-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","5","fe154c07-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","6","fe155be2-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","7","fe156db9-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","5","f9ce78fd-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","6","f9ce86f5-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","7","f9ce9649-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","5","f901d07a-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","6","f901e265-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","7","f901f0a5-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","4","fbf42692-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","5","fbf43748-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","6","fbf448f9-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","7","fbf45a89-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","4","f7e44429-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","5","f7e426d7-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","7","f7e4344c-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","5","fcc8d364-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","6","fcc8e655-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","7","fcc8f87b-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","8","fcc909bd-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","4","fbbff33a-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","5","fbc00573-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","6","fbc01671-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","7","fbc02990-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","4","fa6b9d4d-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","5","fa6b7e7a-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","6","fa6b8ef8-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","4","f9af9ae8-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","5","f9afab4a-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","1","f806c846-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","3","f806ae25-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","5","f806ba32-beed-11eb-8cbd-5cb901ddeae0"
"977683","1","1","8","ff0155db-beed-11eb-8cbd-5cb901ddeae0"
"977684","1","1","5","fd19a7ce-beed-11eb-8cbd-5cb901ddeae0"
"977685","1","1","1","fdda71d2-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","1","fbd259bd-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","5","fbd26d57-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","1","f7dc661a-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","3","f7dc5799-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","5","f7dc7149-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","1","fb3b90dc-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","5","fb3ba27b-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","1","fd9186a0-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","3","fd9173b7-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","1","fcbc8366-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","3","fcbc9b0a-beed-11eb-8cbd-5cb901ddeae0"
"977697","1","1","1","fe9a42ee-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","1","fb346c4f-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","3","fb345950-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","4","fb347f09-beed-11eb-8cbd-5cb901ddeae0"
"977699","1","1","1","fc308641-beed-11eb-8cbd-5cb901ddeae0"
"977699","1","1","3","fc309678-beed-11eb-8cbd-5cb901ddeae0"
"977699","1","1","4","fc30a6b3-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","1","fbe1dc02-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","3","fbe1eaa5-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","4","fbe1fcbd-beed-11eb-8cbd-5cb901ddeae0"
"977703","1","1","1","f96466e6-beed-11eb-8cbd-5cb901ddeae0"
"977704","1","1","1","fdb46e3a-beed-11eb-8cbd-5cb901ddeae0"
"977706","1","1","1","fb07c35f-beed-11eb-8cbd-5cb901ddeae0"
"977707","1","1","1","fc2391b3-beed-11eb-8cbd-5cb901ddeae0"
"977708","1","1","1","fc9d4878-beed-11eb-8cbd-5cb901ddeae0"
"977975","1","1","1","f9826e0d-beed-11eb-8cbd-5cb901ddeae0"
"977976","1","1","1","f95a32db-beed-11eb-8cbd-5cb901ddeae0"
"977977","1","1","-66","fd8d10e7-beed-11eb-8cbd-5cb901ddeae0"
"977978","1","1","1","fd5ae920-beed-11eb-8cbd-5cb901ddeae0"
"977979","1","1","1","fe5d3ab2-beed-11eb-8cbd-5cb901ddeae0"
"977981","1","1","1","f865c858-beed-11eb-8cbd-5cb901ddeae0"
"977982","1","1","1","fa737ace-beed-11eb-8cbd-5cb901ddeae0"
"977983","1","1","1","fc7eb0ae-beed-11eb-8cbd-5cb901ddeae0"
"977984","1","1","1","fe2d7761-beed-11eb-8cbd-5cb901ddeae0"
"977985","1","1","1","f989ddc0-beed-11eb-8cbd-5cb901ddeae0"
"977990","1","1","1","fa49349d-beed-11eb-8cbd-5cb901ddeae0"
"980516","1","1","5","fed220dd-beed-11eb-8cbd-5cb901ddeae0"
"980518","1","1","-66","fd1fd35d-beed-11eb-8cbd-5cb901ddeae0"
"980521","1","1","1","f9720471-beed-11eb-8cbd-5cb901ddeae0"
"980525","1","1","1","fc67a9eb-beed-11eb-8cbd-5cb901ddeae0"
"980526","1","1","1","fb604dec-beed-11eb-8cbd-5cb901ddeae0"
"980530","1","1","1","f83a1849-beed-11eb-8cbd-5cb901ddeae0"
"980532","1","1","7","fd387efc-beed-11eb-8cbd-5cb901ddeae0"
"980543","1","1","8","fe738304-beed-11eb-8cbd-5cb901ddeae0"
"980545","1","1","1","fbac771a-beed-11eb-8cbd-5cb901ddeae0"
"980547","1","1","4","fa872e31-beed-11eb-8cbd-5cb901ddeae0"
"980548","1","1","5","fb9d7cec-beed-11eb-8cbd-5cb901ddeae0"
"980551","1","1","8","fdcb7d5f-beed-11eb-8cbd-5cb901ddeae0"
"985950","1","1","4","fed5f22f-beed-11eb-8cbd-5cb901ddeae0"
"985951","1","1","1","feda18f6-beed-11eb-8cbd-5cb901ddeae0"
"985953","1","1","4","fd08a6ce-beed-11eb-8cbd-5cb901ddeae0"
"985954","1","1","4","fdb0cc47-beed-11eb-8cbd-5cb901ddeae0"
"985955","1","1","2","fb820061-beed-11eb-8cbd-5cb901ddeae0"
"985956","1","1","1","fe6ffdb2-beed-11eb-8cbd-5cb901ddeae0"
"985957","1","1","4","fc5cc618-beed-11eb-8cbd-5cb901ddeae0"
"986926","1","1","8","fb528d50-beed-11eb-8cbd-5cb901ddeae0"
"986927","1","1","7","f7eb2297-beed-11eb-8cbd-5cb901ddeae0"
"986928","1","1","1","f8992b97-beed-11eb-8cbd-5cb901ddeae0"
"986929","1","1","1","f91cb319-beed-11eb-8cbd-5cb901ddeae0"
"986930","1","1","1","fa2586c1-beed-11eb-8cbd-5cb901ddeae0"
"986931","1","1","1","fc3be4e3-beed-11eb-8cbd-5cb901ddeae0"
"986933","1","1","1","f914664b-beed-11eb-8cbd-5cb901ddeae0"
"986934","1","1","1","fd56fd6f-beed-11eb-8cbd-5cb901ddeae0"
"986935","1","1","1","f8e73a4b-beed-11eb-8cbd-5cb901ddeae0"
"986936","1","1","1","fcb5c33b-beed-11eb-8cbd-5cb901ddeae0"
"992659","1","1","1","f8fe9639-beed-11eb-8cbd-5cb901ddeae0"
"992818","1","1","-66","f8316900-beed-11eb-8cbd-5cb901ddeae0"
"992819","1","1","2","fa138ad0-beed-11eb-8cbd-5cb901ddeae0"
"992820","1","1","-66","feea622d-beed-11eb-8cbd-5cb901ddeae0"
"992821","1","1","-66","fd6473d0-beed-11eb-8cbd-5cb901ddeae0"
"992916","1","1","1","fac38ddc-beed-11eb-8cbd-5cb901ddeae0"
"992920","1","1","5","fd43e931-beed-11eb-8cbd-5cb901ddeae0"
"992921","1","1","-66","fa98a26a-beed-11eb-8cbd-5cb901ddeae0"
