"Code","Description","Unique Row Identifier (UUID)"
"620122","Laini","5b43d957-dc0d-11ec-9416-9440c9ab47f0"
"620123","Lyagangabilili","5b46f317-dc0d-11ec-9416-9440c9ab47f0"
"620124","Migato","5b49dbd3-dc0d-11ec-9416-9440c9ab47f0"
"620125","Giga","5b4cf24c-dc0d-11ec-9416-9440c9ab47f0"
"620126","Senani","5b500f03-dc0d-11ec-9416-9440c9ab47f0"
"620127","Malampaka","5b5355d0-dc0d-11ec-9416-9440c9ab47f0"
"620128","Shanwa","5b56f670-dc0d-11ec-9416-9440c9ab47f0"
"620129","Mwanhuzi","5b593650-dc0d-11ec-9416-9440c9ab47f0"
"620130","Sanga","5b5cc63b-dc0d-11ec-9416-9440c9ab47f0"
"620131","Bukundi","5b5fa237-dc0d-11ec-9416-9440c9ab47f0"
"620132","Tindabuligi","5b624a77-dc0d-11ec-9416-9440c9ab47f0"
"630101","ITAMBOLEO","464a72cd-bee5-11eb-8cbd-5cb901ddeae0"
"630102","IGAWA","464b82f3-bee5-11eb-8cbd-5cb901ddeae0"
"630103","LUGELELE","464c996c-bee5-11eb-8cbd-5cb901ddeae0"
"630104","MPOGOLO","464dcfe2-bee5-11eb-8cbd-5cb901ddeae0"
"630105","MAWINDI","464ee360-bee5-11eb-8cbd-5cb901ddeae0"
"630106","UTENGULE USANGU","464ff1fe-bee5-11eb-8cbd-5cb901ddeae0"
"630107","RUIWA","4651037a-bee5-11eb-8cbd-5cb901ddeae0"
"630108","RUJEWA","4651ed5b-bee5-11eb-8cbd-5cb901ddeae0"
"630109","IMALILOSONGWE","4652ffff-bee5-11eb-8cbd-5cb901ddeae0"
"630110","MWATENGA","46541026-bee5-11eb-8cbd-5cb901ddeae0"
"630111","MADIBILA","4654fbc8-bee5-11eb-8cbd-5cb901ddeae0"
"630112","IMALILOSONGWE","5b651246-dc0d-11ec-9416-9440c9ab47f0"
"630113","MAPOGORO","5b68676d-dc0d-11ec-9416-9440c9ab47f0"
"630114","IGAVA","5b6ba7a6-dc0d-11ec-9416-9440c9ab47f0"
"630115","CHOKAA","5b6dc271-dc0d-11ec-9416-9440c9ab47f0"
"630116","Mamba","f4f03fb9-eb33-11ec-9416-9440c9ab47f0"
"630117","Mtanila","f505143d-eb33-11ec-9416-9440c9ab47f0"
"640101","MUMBAKA","46560cbb-bee5-11eb-8cbd-5cb901ddeae0"
"640102","MNAVIRA","4656f4d0-bee5-11eb-8cbd-5cb901ddeae0"
"640103","SULULU","46580613-bee5-11eb-8cbd-5cb901ddeae0"
"640104","CHANIKANGUO","46591acd-bee5-11eb-8cbd-5cb901ddeae0"
"640105","MKUNDI","465a288c-bee5-11eb-8cbd-5cb901ddeae0"
"640106","MWENGEMTAPIKA","465b39d0-bee5-11eb-8cbd-5cb901ddeae0"
"640107","NANGOO","465c4b77-bee5-11eb-8cbd-5cb901ddeae0"
"640108","MCHAURU","465d5e77-bee5-11eb-8cbd-5cb901ddeae0"
"640109","MAKONG'ONDA","465e727d-bee5-11eb-8cbd-5cb901ddeae0"
"640110","CHIKOLOPOLA","465f595f-bee5-11eb-8cbd-5cb901ddeae0"
"640111","MBUYUNI","46606ccd-bee5-11eb-8cbd-5cb901ddeae0"
"640112","CHIUNGUTWA","46617ea6-bee5-11eb-8cbd-5cb901ddeae0"
"640113","Mtandi","5b70ffcd-dc0d-11ec-9416-9440c9ab47f0"
"640114","Silabu","5b7430ae-dc0d-11ec-9416-9440c9ab47f0"
"640115","Mwenge Mtapika","5b7810cb-dc0d-11ec-9416-9440c9ab47f0"
"640116","Lukuledi","5b7a865b-dc0d-11ec-9416-9440c9ab47f0"
"640117","Lukuledi","5b7de738-dc0d-11ec-9416-9440c9ab47f0"
"640118","Chiwale ","5b80e88a-dc0d-11ec-9416-9440c9ab47f0"
"640119","Mwena","5b83e77b-dc0d-11ec-9416-9440c9ab47f0"
"640120","Namalenga","5b868187-dc0d-11ec-9416-9440c9ab47f0"
"640121","Nanjota","5b8a05ad-dc0d-11ec-9416-9440c9ab47f0"
"640122","Ndomoni","5b8d2495-dc0d-11ec-9416-9440c9ab47f0"
"640123","Kitangari","5b9056da-dc0d-11ec-9416-9440c9ab47f0"
"640124","Luchingu","5b93d2ab-dc0d-11ec-9416-9440c9ab47f0"
"640125","Nangwala","5b986ca3-dc0d-11ec-9416-9440c9ab47f0"
"640126","Mtonya","5b9c4443-dc0d-11ec-9416-9440c9ab47f0"
"640127","Tulindane","5ba1d5fb-dc0d-11ec-9416-9440c9ab47f0"
"650101","MINEPA","46626828-bee5-11eb-8cbd-5cb901ddeae0"
"650102","MILOLA","46637b47-bee5-11eb-8cbd-5cb901ddeae0"
"650103","LUPIRO","46648a69-bee5-11eb-8cbd-5cb901ddeae0"
"650104","IRAGUA","46659ce0-bee5-11eb-8cbd-5cb901ddeae0"
"650105","KICHANGANI","4666ae8c-bee5-11eb-8cbd-5cb901ddeae0"
"650106","LUKANDE","4667bf73-bee5-11eb-8cbd-5cb901ddeae0"
"650107","MBUGA","4668d118-bee5-11eb-8cbd-5cb901ddeae0"
"650108","CHILOMBORA","4669e294-bee5-11eb-8cbd-5cb901ddeae0"
"650109","EUGA","466af338-bee5-11eb-8cbd-5cb901ddeae0"
"650110","MAHENGE","466c052c-bee5-11eb-8cbd-5cb901ddeae0"
"650111","MSOGEZI","466d177c-bee5-11eb-8cbd-5cb901ddeae0"
"650112","MWAYA","466e2957-bee5-11eb-8cbd-5cb901ddeae0"
"650113","MBUYUNI","5ba668bd-dc0d-11ec-9416-9440c9ab47f0"
"650114","MAVIMBA","5baa3359-dc0d-11ec-9416-9440c9ab47f0"
"650115","MBENJA","5bac5022-dc0d-11ec-9416-9440c9ab47f0"
"650116","IPUTI","5bb04142-dc0d-11ec-9416-9440c9ab47f0"
"650117","MABANDA","5bb38806-dc0d-11ec-9416-9440c9ab47f0"
"650118","ITETE","5bb65957-dc0d-11ec-9416-9440c9ab47f0"
"650119","SALAMITI","5bb95394-dc0d-11ec-9416-9440c9ab47f0"
"650120","BIRO","5bbc470a-dc0d-11ec-9416-9440c9ab47f0"
"650121","TANGA","5bc007f0-dc0d-11ec-9416-9440c9ab47f0"
"650122","MAKILIKA","5bc3eaf1-dc0d-11ec-9416-9440c9ab47f0"
"650123","NAMAWALA","5bc6fa43-dc0d-11ec-9416-9440c9ab47f0"
"650124","MOFU","5bca436a-dc0d-11ec-9416-9440c9ab47f0"
"650125","MELELA","5bcd1a49-dc0d-11ec-9416-9440c9ab47f0"
"650126","LUTENGULE","5bd073d5-dc0d-11ec-9416-9440c9ab47f0"
"650127","SAGAMAGANGA","5bd370f7-dc0d-11ec-9416-9440c9ab47f0"
"650128","KIVUNGU","5bd62de5-dc0d-11ec-9416-9440c9ab47f0"
"650129","PARAKUYO","5bd9cdfa-dc0d-11ec-9416-9440c9ab47f0"
"650130","RUDEWA GONGONI","5bdd817f-dc0d-11ec-9416-9440c9ab47f0"
"650131","MBWADE","5be11df1-dc0d-11ec-9416-9440c9ab47f0"
"650132","GODENSI","5be52197-dc0d-11ec-9416-9440c9ab47f0"
"650133","MFILISI","5be74b09-dc0d-11ec-9416-9440c9ab47f0"
"650134","KAOLE","5bea1395-dc0d-11ec-9416-9440c9ab47f0"
"650135","KIBAONI","5bed173b-dc0d-11ec-9416-9440c9ab47f0"
"650136","MKOMBANI","5bf08507-dc0d-11ec-9416-9440c9ab47f0"
"650137","MZIA","5bf37e85-dc0d-11ec-9416-9440c9ab47f0"
"650138","NKONGONE","5bf90963-dc0d-11ec-9416-9440c9ab47f0"
"660101","NONDWA","466f394e-bee5-11eb-8cbd-5cb901ddeae0"
"660102","MUNDEMU","46704b85-bee5-11eb-8cbd-5cb901ddeae0"
"660103","CHALI","46715c9e-bee5-11eb-8cbd-5cb901ddeae0"
"660104","MTITAA","46726d24-bee5-11eb-8cbd-5cb901ddeae0"
"660105","MPALANGA","467380a9-bee5-11eb-8cbd-5cb901ddeae0"
"660106","CHIPANGA","4674baa0-bee5-11eb-8cbd-5cb901ddeae0"
"660107","MSISI","4675cc05-bee5-11eb-8cbd-5cb901ddeae0"
"660108","IBIHWA","4676d7c3-bee5-11eb-8cbd-5cb901ddeae0"
"660109","MWITIKIRA","4677c576-bee5-11eb-8cbd-5cb901ddeae0"
"660110","BAHI","4678ae64-bee5-11eb-8cbd-5cb901ddeae0"
"660111","CHIBELELLA","4679c118-bee5-11eb-8cbd-5cb901ddeae0"
"660112","MPAMANTWA","467aabca-bee5-11eb-8cbd-5cb901ddeae0"
"660113","CHIKOLA","467bbc86-bee5-11eb-8cbd-5cb901ddeae0"
"660114","BABAYU","467ca88b-bee5-11eb-8cbd-5cb901ddeae0"
"660115","LAMAITI","5bfc9d7c-dc0d-11ec-9416-9440c9ab47f0"
"660116","KIGWE","5c00a7ff-dc0d-11ec-9416-9440c9ab47f0"
"660117","IBUGULE","5c048ebd-dc0d-11ec-9416-9440c9ab47f0"
"660118","MAKANDA","5c065d90-dc0d-11ec-9416-9440c9ab47f0"
"660119","ZANICA","5c093a5f-dc0d-11ec-9416-9440c9ab47f0"
"660120","DODOMA MJINI","5c0bb3cf-dc0d-11ec-9416-9440c9ab47f0"
"670101","MGETA","5c0d6ea1-dc0d-11ec-9416-9440c9ab47f0"
"670102","NYAMAGUKU","5c102699-dc0d-11ec-9416-9440c9ab47f0"
"670103","MUGUMU","5c12f0ca-dc0d-11ec-9416-9440c9ab47f0"
"670104","MASINKI","5c155f4d-dc0d-11ec-9416-9440c9ab47f0"
"670105","Bitalaguru","5c196a31-dc0d-11ec-9416-9440c9ab47f0"
"670106","Bulamba","5c1b6b68-dc0d-11ec-9416-9440c9ab47f0"
"670107","Kyabakari","5c1cb789-dc0d-11ec-9416-9440c9ab47f0"
"670108","Randa","5c1fbbaf-dc0d-11ec-9416-9440c9ab47f0"
"670109","Majimoto","5c237790-dc0d-11ec-9416-9440c9ab47f0"
"670110","Isenye","5c270c24-dc0d-11ec-9416-9440c9ab47f0"
"680101","NGUDU","5c2a440d-dc0d-11ec-9416-9440c9ab47f0"
"680102","KABILA","5c30537e-dc0d-11ec-9416-9440c9ab47f0"
"680103","Misasi","5c33a2cb-dc0d-11ec-9416-9440c9ab47f0"
"680104","Ng’ombe","5c36d830-dc0d-11ec-9416-9440c9ab47f0"
"680105","Hungumalwa","5c398692-dc0d-11ec-9416-9440c9ab47f0"
"680106","Bungulwa","5c3d0454-dc0d-11ec-9416-9440c9ab47f0"
"680107","Maligisu","5c4126df-dc0d-11ec-9416-9440c9ab47f0"
"690101","TINDE","5c441730-dc0d-11ec-9416-9440c9ab47f0"
"690102","MUHUNZE","5c461704-dc0d-11ec-9416-9440c9ab47f0"
"700101","WANGINGOMBE","5c480610-dc0d-11ec-9416-9440c9ab47f0"
"700102","SAJA","5c4bbd37-dc0d-11ec-9416-9440c9ab47f0"
"710101","Namanyele","5c4f5057-dc0d-11ec-9416-9440c9ab47f0"
"710102","Kate","5c536223-dc0d-11ec-9416-9440c9ab47f0"
"710103","Muze","5c56b404-dc0d-11ec-9416-9440c9ab47f0"
"710104","Mtowisa","5c599cad-dc0d-11ec-9416-9440c9ab47f0"
"710105","Kipeta","5c5d1e39-dc0d-11ec-9416-9440c9ab47f0"
"720101","Mkomba","53f161cd-eb35-11ec-9416-9440c9ab47f0"
"720102","Idiwili","540655cf-eb35-11ec-9416-9440c9ab47f0"
"730101","Itunundu","541b497b-eb35-11ec-9416-9440c9ab47f0"
"730102","Ihowanza","54304b37-eb35-11ec-9416-9440c9ab47f0"
