"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","3. What is your main reason for selling these sheep and/ or goats? (see mrktc_lkpsell_reason)","Unique Row Identifier (UUID)"
"977412","1","1","1","f869e61a-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","2","f8699601-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","3","f869a735-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","4","f869b579-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","5","f869c1a4-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","6","f869ce76-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","7","f869da75-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","1","f89c7872-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","2","f89c69d1-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","3","f89c847b-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","4","f89c90e2-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","5","f89c9dab-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","6","f89caa1a-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","7","f89cb839-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","1","fdf4e167-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","2","fdf4cd56-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","3","fdf4f088-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","4","fdf50338-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","2","ff0f35f9-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","1","fbf7da49-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","2","fbf7cb8e-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","3","fbf7b9a8-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","4","fbf7a770-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","6","fbf7e717-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","1","f9764b2d-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","2","f9763aa2-beed-11eb-8cbd-5cb901ddeae0"
