"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","10. What other species of animals do you buy apart from sheep and goats? (see mrktc_lkpothrspecies)","Unique Row Identifier (UUID)"
"998916","1","1","1","fe8d3715-beed-11eb-8cbd-5cb901ddeae0"
"998916","1","1","4","fe8d4944-beed-11eb-8cbd-5cb901ddeae0"
"998918","1","1","-66","fe455349-beed-11eb-8cbd-5cb901ddeae0"
"998935","1","1","-66","f7d48bbc-beed-11eb-8cbd-5cb901ddeae0"
"998936","1","1","-66","fbd67954-beed-11eb-8cbd-5cb901ddeae0"
"998937","1","1","1","fba29208-beed-11eb-8cbd-5cb901ddeae0"
"998937","1","1","4","fba2a3d1-beed-11eb-8cbd-5cb901ddeae0"
"998937","1","1","5","fba2b2bd-beed-11eb-8cbd-5cb901ddeae0"
"998940","1","1","1","f8581917-beed-11eb-8cbd-5cb901ddeae0"
"998940","1","1","2","f8582583-beed-11eb-8cbd-5cb901ddeae0"
"998940","1","1","4","f8583133-beed-11eb-8cbd-5cb901ddeae0"
"999404","1","1","1","faa558fb-beed-11eb-8cbd-5cb901ddeae0"
"999405","1","1","1","fdc0e254-beed-11eb-8cbd-5cb901ddeae0"
"999406","1","1","1","fd04fe75-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","-66","f80d79af-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","1","f80d6a53-beed-11eb-8cbd-5cb901ddeae0"
"999408","1","1","1","f8851662-beed-11eb-8cbd-5cb901ddeae0"
"999409","1","1","1","fbc82ab9-beed-11eb-8cbd-5cb901ddeae0"
"999410","1","1","1","fea2d9e8-beed-11eb-8cbd-5cb901ddeae0"
"999411","1","1","-66","fb734a8c-beed-11eb-8cbd-5cb901ddeae0"
"999412","1","1","1","fc999836-beed-11eb-8cbd-5cb901ddeae0"
"999413","1","1","1","f8ccb238-beed-11eb-8cbd-5cb901ddeae0"
"999430","1","1","-66","fe4d6462-beed-11eb-8cbd-5cb901ddeae0"
"999431","1","1","1","fd2ba3ba-beed-11eb-8cbd-5cb901ddeae0"
"999432","1","1","1","f84e7b0a-beed-11eb-8cbd-5cb901ddeae0"
"999433","1","1","1","fd34d784-beed-11eb-8cbd-5cb901ddeae0"
"999434","1","1","1","f9b49007-beed-11eb-8cbd-5cb901ddeae0"
"999435","1","1","-66","f9fffa0b-beed-11eb-8cbd-5cb901ddeae0"
"999436","1","1","-66","fee6c76e-beed-11eb-8cbd-5cb901ddeae0"
"999437","1","1","1","f8a0bf99-beed-11eb-8cbd-5cb901ddeae0"
"999438","1","1","1","f94ff563-beed-11eb-8cbd-5cb901ddeae0"
"999439","1","1","-66","f85cbe8c-beed-11eb-8cbd-5cb901ddeae0"
"999440","1","1","-66","f8b371d5-beed-11eb-8cbd-5cb901ddeae0"
"999441","1","1","-66","fda971d4-beed-11eb-8cbd-5cb901ddeae0"
"999442","1","1","-66","fa77fb69-beed-11eb-8cbd-5cb901ddeae0"
"999943","1","1","4","fc2a20de-beed-11eb-8cbd-5cb901ddeae0"
"999945","1","1","4","fa55138c-beed-11eb-8cbd-5cb901ddeae0"
"1000114","1","1","-66","f8a47eb1-beed-11eb-8cbd-5cb901ddeae0"
"1000118","1","1","-66","fedddfc4-beed-11eb-8cbd-5cb901ddeae0"
"1000119","1","1","1","fc6ec0ba-beed-11eb-8cbd-5cb901ddeae0"
"1000121","1","1","4","f92b1046-beed-11eb-8cbd-5cb901ddeae0"
"1000424","1","1","-66","fc6b6cc0-beed-11eb-8cbd-5cb901ddeae0"
"1000425","1","1","-66","f88b5263-beed-11eb-8cbd-5cb901ddeae0"
"1000426","1","1","-66","fe7edce7-beed-11eb-8cbd-5cb901ddeae0"
"1000427","1","1","-66","f8b75daf-beed-11eb-8cbd-5cb901ddeae0"
"1000431","1","1","-66","fefda255-beed-11eb-8cbd-5cb901ddeae0"
"1000433","1","1","-66","fe96f19d-beed-11eb-8cbd-5cb901ddeae0"
"1000434","1","1","1","f880ec30-beed-11eb-8cbd-5cb901ddeae0"
"1000435","1","1","-66","fac6e757-beed-11eb-8cbd-5cb901ddeae0"
"1000436","1","1","-66","febcf142-beed-11eb-8cbd-5cb901ddeae0"
