"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","1. What are the activities that you are doing in this market today?","If other, specify","Type of place (see mrktc_lkpsell_placetype)","If other specify","Name of place","Ward","District","3. What is your main reason for selling these sheep and/ or goats?","If other, specify","4. How were sheep/ goats transported to the market? (see mrktc_lkpsell_trans)","If other, specify","5. Do you also sell other animal species apart from sheep and goats?","If yes, out of all the species that you sell, which species do you sell the most?","If other, specify","Will you transport the sheep/ goats you are buying today?","Type of place (see mrktc_lkpplacetype)","If other, specify","Name of place","Ward","District","7. What is your main reason for buying these small ruminants?","If other, specify","8. How will you transport these small ruminants that you are buying (see mrktc_lkpsell_trans)","If other, specify","9. What criteria do you use to decide which small ruminants to buy?","If other, specify","10. What other species of animals do you buy apart from sheep and goats?","If other, specify","11. If the prices of sheep and goats increase for some reason e.g. a shortage of animals due to disease, will you still buy them?","If no, which other species will you consider instead?","If other, specify","If yes, how much of an increase in the current price of sheep and goat (unit price of live animal) will cause you to change your purchasing behaviour to another animal species","12. How many times in a month do you buy or sell sheep and /or goats in this market?","Unique Row Identifier (UUID)"
"1157401","1","1","1 3","","1","","Nagaga","Mbuyuni","Masasi","1","","3","","1","4","","0","","","","","","1","","3","","1 3 2","","4","","0","","","","2","150feccc-e2b7-11ec-9416-9440c9ab47f0"
"1157402","1","1","1 3","","1","","Mitonji","Mbuyuni","Masasi","1","","3","","0","","","0","","","","","","1","","3","","1 2 5 -66","Hanunui wanyama wengine tofauti na mbuzi na kondoo","-66","","","","","","","201e108a-e2b7-11ec-9416-9440c9ab47f0"
"1157403","1","1","1 3","","1","","Matogoro","Mbuyuni","Masasi","1 6","","3","","1","4","","1","1","","Chiungutwa","Chiungutwa","Masasi","1","","3","","1 2","","4","","0","4","","","2","1acd9bae-e2b7-11ec-9416-9440c9ab47f0"
"1157404","1","1","1","","1","","Nagaga","Nagaga","Masasi","5","","1","","0","","","","","","","","","","","","","","","","","","","","","","1144e9d3-e2b7-11ec-9416-9440c9ab47f0"
"1157405","1","1","3","","1","","Ndibwa","Mbuyuni","Masasi","6","","2","","0","","","1","1","","Mbuyuni","Mbuyuni","Masasi","1","","2","","1 2 5","","-66","Hanunui wanyama wengine","0","-66","Hajanunua wengine","","1","19838cad-e2b7-11ec-9416-9440c9ab47f0"
"1157406","1","1","1","","1","","Sindano","Sindano","Masasi","3","","1","","0","","","","","","","","","","","","","","","","","","","","","","2d2e3c8c-e2b7-11ec-9416-9440c9ab47f0"
"1157459","1","1","3","","1","","Namanyere","Isunta","Nkasi","2 3 4 6","","1","","0","","","0","","","","","","5 6","","1","","1 2 3 4 8","","","","1","","","120000","4","1b610604-e2b7-11ec-9416-9440c9ab47f0"
"1157460","1","1","1","","1","","Ipanda","Ipanda","Nkasi","2 3 4 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","2ad2c44a-e2b7-11ec-9416-9440c9ab47f0"
"1157461","1","1","1","","1","","Katumbila","Katumbila","Nkasi","2 3 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","2ec5675f-e2b7-11ec-9416-9440c9ab47f0"
"1157462","1","1","1","","1","","Mtenga","Mtenga","Nkasi","2 3 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","0e233e33-e2b7-11ec-9416-9440c9ab47f0"
"1157463","1","1","4","","","","","","","","","","","","","","1","1","","Tatumbila","Tatumbila","Nkasi","2 5","","1","","1 2 3 4","","","","1","","","120000","","0b2530e2-e2b7-11ec-9416-9440c9ab47f0"
"1157464","1","1","3","","1","","Isunta","Namanyere","Nkasi","2 3 4 5 6","","1","","0","","","1","2","","Tunduma","Sogea","Songwe","6","","1","","1 2 3 4","","","","1","","","100000","","28c40a2f-e2b7-11ec-9416-9440c9ab47f0"
"1157465","1","1","4","","","","","","","","","","","","","","1","2","","Sumbawanga","Sumbawanga fisi","Sumbawanga mjini","6","","2","","1 2 3 4","","","","1","","","120000","4","2ce81f54-e2b7-11ec-9416-9440c9ab47f0"
"1157466","1","1","1","","1","","Kakomo","Namanyere","Nkasi","2 3 4 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","2a854b44-e2b7-11ec-9416-9440c9ab47f0"
"1157467","1","1","4","","","","","","","","","","","","","","1","2","","Sumbawanga","Maswi","Sumbawanga","6","","2","","1 2 3 4","","","","1","","","150000","4","180023b2-e2b7-11ec-9416-9440c9ab47f0"
"1157468","1","1","1","","1","","Mashete","Mashete","Nkasi","2 3 4 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","1fff9f4b-e2b7-11ec-9416-9440c9ab47f0"
"1157469","1","1","2","","1","","Isunta","Isunta","Namanyere","2 3 4 5 7","","1","","0","","","0","","","","","","","","1","","1 2 3 4","","","","1","","","80000","","229eb68e-e2b7-11ec-9416-9440c9ab47f0"
"1157470","1","1","1","","1","","Mashete","Mashete","Nkasi","2 3 4 5 6 7","","1","","0","","","","","","","","","","","","","","","","","","","","","","2821ed5b-e2b7-11ec-9416-9440c9ab47f0"
"1157471","1","1","1","","1","","Chala","Chala","Nkasi","2 3 4 5 6","","1","","0","","","","","","","","","","","","","","","","","","","","","","193891d5-e2b7-11ec-9416-9440c9ab47f0"
"1157472","1","1","2","","1","","Isunta","Namanyere","Nkasi","2 3 4 5 6 7","","1","","0","","","0","","","","","","1","","1","","1 2 3 4","","","","0","","","","1","146951f1-e2b7-11ec-9416-9440c9ab47f0"
"1157473","1","1","2","","1","","Isunta","Namanyer","Nkasi","2 3 4 5 6 7","","1","","0","","","0","","","","","","-66","Nanunua mnadani  nakuuza mnadani","1","","1 2 3 4","","","","0","4","","","","19ea987f-e2b7-11ec-9416-9440c9ab47f0"
"1157530","1","1","1","","1","","Kivukoni","Minepa","Ulanga","2 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","2b015537-e2b7-11ec-9416-9440c9ab47f0"
"1157531","1","1","4","","","","","","","","","","","","","","1","1","","Ighota( nyumbani)","Lupiro","Ulanga","2 4 5","","1","","1 2 5 6 4","","-66","Hakuna","0","4","","","3","2c8822b1-e2b7-11ec-9416-9440c9ab47f0"
"1157532","1","1","1","","1","","Nakafulu ( nyumbani)","Lupiro","Ulanga","4 2","","1","","0","","","","","","","","","","","","","","","","","","","","","","1430e4f6-e2b7-11ec-9416-9440c9ab47f0"
"1157533","1","1","1","","1","","Mavimba( kanyagatwende)","Milola","Ulanga","2 4 3","","1","","0","","","","","","","","","","","","","","","","","","","","","","14c9652e-e2b7-11ec-9416-9440c9ab47f0"
"1157534","1","1","1","","1","","Ikungua","Kichangani","Ulanga","4 3","","1","","0","","","","","","","","","","","","","","","","","","","","","","23c4a2a0-e2b7-11ec-9416-9440c9ab47f0"
"1157535","1","1","1 2 3 4","","2","","Ifakara","Ifakara","Ifakara","1 2 3 6","","1","","1","1","","1","2","","Ifakara( nyumbani)","Ifakara","Ifakara","5 6 2 4","","1","","1 2 3 4 6","","1","","1","","","50000","3","261985b0-e2b7-11ec-9416-9440c9ab47f0"
"1157536","1","1","4","","","","","","","","","","","","","","1","2","","Kibaoni","Kibaoni","Ifakara","6","","2","","1 2 3 4 6","","-66","Hakuna","1","","","80000","3","242318ff-e2b7-11ec-9416-9440c9ab47f0"
"1157537","1","1","1","","1","","Viwanjasitini ( nyumbani)","Viwanjasitini","Ifakara","4","","-66","Pikipiki ( ndani ya tenga)","0","","","","","","","","","","","","","","","","","","","","","","201a1ec2-e2b7-11ec-9416-9440c9ab47f0"
"1157538","1","1","4","","","","","","","","","","","","","","0","","","","","","6","","-66","Hasafirishi, anachinja kwaajili ya supu na nyama choma","1 3 6","","-66","Hakuna","1","","","50000","3","2011ca3d-e2b7-11ec-9416-9440c9ab47f0"
"1157539","1","1","1 2 3 4","","1","","Lupiro","Lupiro","Ulanga","1 2 3 5 6 4","","1","","0","","","1","1","","Lupiro (nyumbani)","Lupiro","Ulanga","2 5 6 4","","1","","1 2 4 6","","-66","Hakuna","1","","","60000","3","11fac688-e2b7-11ec-9416-9440c9ab47f0"
"1157540","1","1","3","","1","","Minepa","Minepa","Ulanga","2 3 4 5 6","","1","","0","","","1","1","","Minepa ( nyumbani)","Minepa","Ulanga","2 4 6 5","","1","","1 2 4 5","","-66","Hamna","1","","","80000","3","2eb6fb69-e2b7-11ec-9416-9440c9ab47f0"
"1157541","1","1","4","","","","","","","","","","","","","","0","","","","","","6","","-66","Hasafirishi, anawachinja kwaajili ya supu na nyama choma","1 2 3 6","","4","","1","","","80000","3","27a0c1fe-e2b7-11ec-9416-9440c9ab47f0"
"1157542","1","1","1","","1","","Mavimba( kaliagogo) - nyumbani","Milola","Ulanga","2 3 4 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","228a6f54-e2b7-11ec-9416-9440c9ab47f0"
"1157543","1","1","1 2 3 4","","1","","Kivukoni ( nyumbani)","Minepa","Ulanga","1 2 3 4 5 6","","1","","1","1","","1","1","","Kivukoni (nyumbani)","Minepa","Ulanga","1 2 4 5 6","","1","","1 2 3 4 6","","1","","1","","","80000","3","2e7a879e-e2b7-11ec-9416-9440c9ab47f0"
"1157544","1","1","4","","","","","","","","","","","","","","1","1","","Mbuyuni ( Kisaki) _ nyumbani","Minepa","Ulanga","2 4 5 6","","1","","1 2 3 4 5","","1","","1","","","60000","3","13dd3742-e2b7-11ec-9416-9440c9ab47f0"
"1157545","1","1","4","","","","","","","","","","","","","","1","1","","Kibaoni( mgahawani)","Kibaoni","Ifakara","6","","-66","Kwa pikipiki ndani ya tenga.","2 3 1 6","","-66","Hakuna","1","","","90000","3","22dc6e04-e2b7-11ec-9416-9440c9ab47f0"
"1157599","1","1","3","","3","","Mbuyuni","Minepa","Ulanga","1","","1","","1","1","","1","3","","Pugu","Pugu","Ilala","1","","2","","1 3 2","","1","","1","","","110000","3","551f5e9e-e380-11ec-9416-9440c9ab47f0"
"1157600","1","1","3","","3","","Mbuyuni","Minepa","Ulanga","1","","1","","0","","","1","2","","Ifakara","Viwanja sitini","Ifakara","1 6 -66","Kuchinja na kuuza nyama choma","-66","Bajaji","1 2","","","","1","","","","3","4306f81b-e380-11ec-9416-9440c9ab47f0"
"1157601","1","1","1","","1","","Mavimba","Milola","Ulanga","2 3 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","5932d593-e380-11ec-9416-9440c9ab47f0"
"1157602","1","1","-66 3","","3","","Mbuyuni","Minepa","Ulanga","1","","3","","0","","","1","1","","Mahenge","Mahenge","Ulanga","6","","1","","1 3 2","","","","1","","","","3","3a8b42d2-e380-11ec-9416-9440c9ab47f0"
"1157603","1","1","4","","","","","","","","","","","","","","1","1","","Luhogi Kivukoni","Minepa","Ulanga","-66 5 8","Matumizi ya familia kwenye sherehe","1","","1 2 5 -66","Dume la kuchinja, jike la kufuga","","","1","","","100000","","4e1f42f8-e380-11ec-9416-9440c9ab47f0"
"1157604","1","1","3","","3","","Mbuyuni","Minepa","Ulanga","1","","-66","Bajaji","0","","","1","2","","Ifakara","Kibaoni","Ifakara","1 6","","-66","Bajaji","1 2 3 4","","","","1","","","","3","516ace63-e380-11ec-9416-9440c9ab47f0"
"1157605","1","1","1","","1","","Kivukoni","Minepa","Ulanga","2 3 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","3599c66c-e380-11ec-9416-9440c9ab47f0"
"1157606","1","1","1","","1","","Etoo Kivukoni","Minepa","Ulanga","2 5 3","","1","","0","","","","","","","","","","","","","","","","","","","","","","3ac3e453-e380-11ec-9416-9440c9ab47f0"
"1157607","1","1","3","","3","","Mbenja","Iragua","Ulanga","1","","1","","0","","","1","3","","Pugu","Pugu","Ilala","1","","2","","1 2 3","","","","1","","","","3","4c4309cc-e380-11ec-9416-9440c9ab47f0"
"1157608","1","1","3","","3","","Mbuyuni","Minepa","Ulanga","1","","","","0","","","1","2","","Lipiro","Lupiro","Ulanga","1 6","","-66","Bajaji","1 3 2","","","","0","","","","3","5084242f-e380-11ec-9416-9440c9ab47f0"
"1157609","1","1","1","","1","","Milola","Milola","Ulanga","2 3 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","36dfaf28-e380-11ec-9416-9440c9ab47f0"
"1157610","1","1","2","","1","","Uwanja ndege","Minepa","Ulanga","2 1 3","","1","","1","","","0","","","","","","1","","3","","1 2","","","","0","","","","3","538b390c-e380-11ec-9416-9440c9ab47f0"
"1157611","1","1","4","","","","","","","","","","","","","","1","1","","Ikungua","Kichangani","Ulanga","2","","1","","1 2 3 5 6","","","","0","","","","","501da530-e380-11ec-9416-9440c9ab47f0"
"1157612","1","1","-66","Kuchinja na kuuza nyama choma","3","","Mbuyuni","Minepa","Ulanga","-66","Kununua mifugo na kuuza nyama choma","3","","","","","0","","","","","","6","","3","","1 3 2","","","","","","","","3","4b49b7d0-e380-11ec-9416-9440c9ab47f0"
"1157618","1","1","1","","1","","Isale","Isunta","Namanyere","2","","1","","1","","","","","","","","","","","","","","","","","","","","","","4929611f-e380-11ec-9416-9440c9ab47f0"
"1157619","1","1","1","","1","","Isale","Isale","Namanyere","2","","1","","1","1","","","","","","","","","","","","","","","","","","","","","54559f9a-e380-11ec-9416-9440c9ab47f0"
"1157620","1","1","1","","1","","Isale","Isale","Nkasi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","400a0a59-e380-11ec-9416-9440c9ab47f0"
"1157621","1","1","1","","1","","Chala","Chala","Nkasi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","445bb28d-e380-11ec-9416-9440c9ab47f0"
"1157622","1","1","1","","1","","Kakoma","Kipundu","Nkasi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","56b08c61-e380-11ec-9416-9440c9ab47f0"
"1157623","1","1","1","","1","","Kakoma","Kipundu","Nkasi","2","","1","","1","","","","","","","","","","","","","","","","","","","","","","39bb9593-e380-11ec-9416-9440c9ab47f0"
"1157624","1","1","1","","1","","Isale","Kakoma","Nkasi","1 2","","1","","1","","","","","","","","","","","","","","","","","","","","","","50c83a1b-e380-11ec-9416-9440c9ab47f0"
"1157625","1","1","1","","1","","Nkomolo","Nkomolo","Nkasi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","394cd3b4-e380-11ec-9416-9440c9ab47f0"
"1157626","1","1","1","","1","","Msilihofo","Isale","Nkasi","1 6","","1","","1","","","","","","","","","","","","","","","","","","","","","","562235f9-e380-11ec-9416-9440c9ab47f0"
"1157627","1","1","1","","1","","Paramawe","Paramawe","Namanyere","2","","1","","1","","","","","","","","","","","","","","","","","","","","","","53706883-e380-11ec-9416-9440c9ab47f0"
"1157628","1","1","4","","","","","","","","","","","","","","1","1","","Isale","Isale","Nkasi","2","","1","","1 2 3 4 5","","-66","Hakuna","","","","","1","4014f515-e380-11ec-9416-9440c9ab47f0"
"1157629","1","1","1","","1","","Lunyala","Majengo","Nkasi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","4d8bdec2-e380-11ec-9416-9440c9ab47f0"
"1157630","1","1","4","","","","","","","","","","","","","","1","1","","Mnombasoa","Nkomolo","Nkasi","2","","1","","1 2 3 4","","-66","Hakuna","0","-66","Hakuna","","1","3b376cc1-e380-11ec-9416-9440c9ab47f0"
"1157631","1","1","1","","1","","Kakoma","Kakoma","Namanyere","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","40a08796-e380-11ec-9416-9440c9ab47f0"
"1157632","1","1","1","","1","","Mkole","Namanyere","Nkasi","1 2","","1","","0","","","","","","","","","","","","","","","","","","","","","","34a613be-e380-11ec-9416-9440c9ab47f0"
"1157671","1","1","1","","1","","Uhelela","Bahi ","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","535b9546-e380-11ec-9416-9440c9ab47f0"
"1157672","1","1","1","","1","","Makanda","Makanda","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","3da6909d-e380-11ec-9416-9440c9ab47f0"
"1157673","1","1","1","","1","","Ibihwa","Ibihwa","Bahi","3","","1","","0","","","","","","","","","","","","","","","","","","","","","","4d5b6aec-e380-11ec-9416-9440c9ab47f0"
"1157674","1","1","2","","3","","Makanda","Makanda","Bahi","1","","1","","1","1","","0","","","","","","1","","-66","Kama watauzika hapa  basi wasipouzika hapa nawasafirisha kwa bodaboda kwajili ya kupeleka mnada mwingine","-66","Ukubwa wa mbuzi na uzito","1","","1","","","150000","2","57014845-e380-11ec-9416-9440c9ab47f0"
"1157675","1","1","1","","1","","Mkakatika ","Mpamantwa ","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","55779f95-e380-11ec-9416-9440c9ab47f0"
"1157676","1","1","2","","1","","Nagulo bahi","Bahi","Bahi","2","","1","","0","","","0","","","","","","1","","-66","Nawauza hapahapa mnadani na wasipouzika nawasafirisha kwa njia ya miguu","-66","Uzito na ukubwa ","","","1","","","200000","2","585706c9-e380-11ec-9416-9440c9ab47f0"
"1157677","1","1","1","","1","","Mnkola","Ibihwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","4d82eab7-e380-11ec-9416-9440c9ab47f0"
"1157678","1","1","4","","","","","","","","","","","","","","1","1","","Makanda","Makanda","Bahi","2","","1","","5 -66","Ukubwa","","","0","","","","2","3dfa949f-e380-11ec-9416-9440c9ab47f0"
"1157679","1","1","1","","1","","Nagulo Bahi ","Bahi","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","42a82385-e380-11ec-9416-9440c9ab47f0"
"1157680","1","1","1","","1","","Nagulo  bahi","Bahi","Bahi","6","","1","","0","","","","","","","","","","","","","","","","","","","","","","4e642dc6-e380-11ec-9416-9440c9ab47f0"
"1157681","1","1","4","","","","","","","","","","","","","","1","3","","Msalato","Msalato","Bahi","6 1","","2","","-66","Uzito  na ukubwa","","","1","","","300000","2","3688c4b0-e380-11ec-9416-9440c9ab47f0"
"1157682","1","1","2","","1","","Mkakatika","Mpamantwa","Bahi","1","","-66","Bodaboda","0","","","0","","","","","","1","","-66","Kwa bodaboda","-66","Ukubwa wa mbuzi","","","1","","","","","51f7da46-e380-11ec-9416-9440c9ab47f0"
"1157683","1","1","4","","","","","","","","","","","","","","1","1","","Mkakatika","Mpamantwa","Bahi","2","","1","","5 -66","Ukubwa military nikaizalishe","","","1","","","200000","2","4f26d61c-e380-11ec-9416-9440c9ab47f0"
"1157684","1","1","2","","1","","Bahi sokoni","Bahi ","Bahi","1","","1","","0","","","1","3","","Kigwe","Kigwe","Bahi","1","","1","","-66","Ukubwa","","","1","","","150000","2","4093760b-e380-11ec-9416-9440c9ab47f0"
"1157685","1","1","1","","1","","Ibihwa","Ibihwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","403ef7b1-e380-11ec-9416-9440c9ab47f0"
"1157689","1","1","1","","1","","Bahi sokoni","Bahi","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","44cc3e3b-e380-11ec-9416-9440c9ab47f0"
"1157690","1","1","1","","1","","Mkakatika","Mpamantwa","Bahi","2 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","3936b269-e380-11ec-9416-9440c9ab47f0"
"1157691","1","1","1 3","","1","","Mkakatika","Mpamantwa","Bahi","1 2 5","","1","","1","1","","0","","","","","","1","","1","","1 3 2 4","","1","","0","1","","","3","49b0f165-e380-11ec-9416-9440c9ab47f0"
"1157692","1","1","1","","1","","Mkakatika","Mpamantwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","40ca3285-e380-11ec-9416-9440c9ab47f0"
"1157693","1","1","1 4","","1","","Mpamantwa","Mpamantwa","Bahi","2 5","","1","","0","","","1","1","","Mpamantwa","Mpamantwa","Bahi","2","","1","","1 3 2","","1","","0","1","","","1","40199f52-e380-11ec-9416-9440c9ab47f0"
"1157694","1","1","1 4","","1","","Ligulwa","Bahi","Bahi","6","","1","","0","","","1","1","","Ligulwa","Bahi","Bahi","2","","1","","1 2 3 5","","","","0","","","","1","511e4e67-e380-11ec-9416-9440c9ab47f0"
"1157695","1","1","1 2","","1","","Mnkola","Ibihwa","Bahi","1 2 5","","1","","0","","","0","","","","","","1","","1","","1 3 2","","","","","","","","2","579187e9-e380-11ec-9416-9440c9ab47f0"
"1157696","1","1","1","","1","","Mnkola","Ibihwa","Bahi","2 5 4","","1","","","","","","","","","","","","","","","","","","","","","","","","4ea5be28-e380-11ec-9416-9440c9ab47f0"
"1157697","1","1","1","","1","","Mkakatika","Mpamantwa","Bahi","2 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","49e25e3a-e380-11ec-9416-9440c9ab47f0"
"1157698","1","1","1","","1","","Mpamantwa","Mpamantwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","3c0ab656-e380-11ec-9416-9440c9ab47f0"
"1157699","1","1","1","","1","","Mpamantwa","Mpamantwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","38e4a3ab-e380-11ec-9416-9440c9ab47f0"
"1157700","1","1","1","","1","","Bahi sokoni","Bahi","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","47c7a522-e380-11ec-9416-9440c9ab47f0"
"1157701","1","1","1","","1","","Mnkola","Ibihwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","5231d389-e380-11ec-9416-9440c9ab47f0"
"1157702","1","1","1 2","","","","Mnkola","Ibihwa","Bahi","2","","1","","0","","","0","","","","","","1","","","","1 3 2 4","","","","","","","","","39a27d00-e380-11ec-9416-9440c9ab47f0"
"1157703","1","1","4","","","","","","","","","","","","","","1","1","","Mkole","Mkole","Nkasi","2","","1","","1 2 4 5","","4 3","","0","4 3","","","","3ab23536-e380-11ec-9416-9440c9ab47f0"
"1157704","1","1","1","","1","","Nkomolo","Nkomolo","Nkasi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","3f57d1f2-e380-11ec-9416-9440c9ab47f0"
"1157705","1","1","4","","","","","","","","","","","","","","1","1","","Ikizi","Ikizi","Nkasi","2","","1","","1 2 4","","4","","0","4","","","","597b51dd-e380-11ec-9416-9440c9ab47f0"
"1157706","1","1","2","","1","","Nkomolo","Nkomolo","Nkasi","1","","-77","","0","","","0","","","","","","1","","-77","","1 2","","3","","0","4 3","","","2","49a6da32-e380-11ec-9416-9440c9ab47f0"
"1157707","1","1","1","","1","","Isale","Isale","Nkasi","1","","1","","0","","","","","","","","","","","","","","","","","","","","","","4fdb71b7-e380-11ec-9416-9440c9ab47f0"
"1157711","1","1","3","","1","","Chilimba,Mitonji,Lupaso","Chiungutwa,Mbuyuni,Lupaso.","Masasi","1","","-66","Pikipiki","1","1","","1","2","","Napupa","Napupa","Masasi","1","","","","1 3 2","","1","","1","","","20000","3","55c3e403-e380-11ec-9416-9440c9ab47f0"
"1157712","1","1","3","","1","","Chiungutwa","Chiungutwa","Masasi","1","","2","","0","","","1","1","","Mbuyuni","Mbuyuni","Masasi","1","","2","","1","","-66","Hakuna","0","-66","Nitasubiri bei ishuke","","2","45abec06-e380-11ec-9416-9440c9ab47f0"
"1157713","1","1","1","","1","","Kalipinde","Chiungutwa","Masasi","1","","-66","Pikipiki ya miguu mitatu","0","","","","","","","","","","","","","","","","","","","","","","3ff818f5-e380-11ec-9416-9440c9ab47f0"
"1157714","1","1","4","","","","","","","","","","","","","","1","1","","Marika","Marika","Masasi","3","","-66","Kuwatia kwenye tenga na kupakia kwenye pikipiki.","1","","-66","Hanunui wengine","1","","","30000","1","387730d0-e380-11ec-9416-9440c9ab47f0"
"1157715","1","1","1","","1","","Chilimba","Chiungutwa","Masasi","4","","1","","0","","","","","","","","","","","","","","","","","","","","","","38a33a02-e380-11ec-9416-9440c9ab47f0"
"1157716","1","1","4","","","","","","","","","","","","","","1","2","","Jida","Jida","","6 8","","2","","1","","-66","Hapana.Hanunui mifugo tofauti na mbuzi.","1","","","15000","4","59e86e8f-e380-11ec-9416-9440c9ab47f0"
"1157718","1","1","1","","1","","Mbuyuni","Mbuyuni","Masasi","1","","1","","0","","","","","","","","","","","","","","","","","","","","","","46469353-e380-11ec-9416-9440c9ab47f0"
"1157719","1","1","1","","1","","Nakarara","Makong`onda","Masasi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","5a1f6ed3-e380-11ec-9416-9440c9ab47f0"
"1157720","1","1","1","","1","","Mitonji","Mbuyuni","Masasi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","498c53d7-e380-11ec-9416-9440c9ab47f0"
"1157721","1","1","3","","1","","Mbuyuni","Mbuyuni","Masasi","1","","","","","","","1","2","","Mtandi","Mtandi","Masasi","1","","","","","","","","","","","","","4961e34f-e380-11ec-9416-9440c9ab47f0"
"1157722","1","1","1","","1","","Mbuyuni","Mbuyuni","Masasi","6","","2","","0","","","","","","","","","","","","","","","","","","","","","","3c06d1a2-e380-11ec-9416-9440c9ab47f0"
"1157726","1","1","4","","","","","","","","","","","","","","0","","","","","","5","","1","","3 2","","-66","Hapana","0","-66","Hapana","","","46d7d6df-e380-11ec-9416-9440c9ab47f0"
"1157727","1","1","4","","","","","","","","","","","","","","1","1","","Uhelela","Bahi ","Bahi","5","","-66","Pikipiki","2 3","","1","","0","4","","","","463b0bef-e380-11ec-9416-9440c9ab47f0"
"1157728","1","1","1","","1","","Mkakatika","Mpamatwa ","Bahi","2","","1","","1","1","","","","","","","","","","","","","","","","","","","","","4ebdabcc-e380-11ec-9416-9440c9ab47f0"
"1157729","1","1","1","","1","","Mnkola","Mnkola ","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","3b13f895-e380-11ec-9416-9440c9ab47f0"
"1157730","1","1","2","","1","","Bahi sokoni","Bahi","Bahi","1","","1","","0","","","0","","","","","","1","","-66","Inategemea na soko  nikishindwa kuuza nawapeleka nyumbni  kwa miguu","1 3 2","","-66","Hapana","1","","","","1","5301db3f-e380-11ec-9416-9440c9ab47f0"
"1157731","1","1","3","","1","","Bahi","Bahi","Bahi","1","","1","","1","1 3 4","","0","","","","","","1","","-66","Inategemea  nikishindwa kuuza  nawarudisha tu nyumbani","1 3 2","","1 3 4","","0","3 4","","","2","58c3a48c-e380-11ec-9416-9440c9ab47f0"
"1157732","1","1","1","","1","","Mkakatika","Mpamatwa","Bahi ","2 3","","1","","0","","","","","","","","","","","","","","","","","","","","","","54cedb03-e380-11ec-9416-9440c9ab47f0"
"1157733","1","1","4","","","","","","","","","","","","","","1","1","","Bahi","Bahi","Bahi","-66","Sherehe","1","","2 3","","-66","Hapana","0","-66","Hapana","","","5335f72e-e380-11ec-9416-9440c9ab47f0"
"1157734","1","1","3","","2","","Dodoma","","Dodoma mjini","1","","2","","0","","","1","2","","Dodoma","Kizota","Dodoma mjini","1","","2","","2 3 1 4","","-66","Hapana","1","","","500000","2","3cb53377-e380-11ec-9416-9440c9ab47f0"
"1157735","1","1","1","","1","","Ibihwa","Ibihwa","Bahi","2 3","","1","","0","","","","","","","","","","","","","","","","","","","","","","3d298fdd-e380-11ec-9416-9440c9ab47f0"
"1157736","1","1","-66","Nanunua na kuchinja  nauza nyama mnadani","-66","Nawakuta mnadani","","","","-66","Kuchinja  na kuuza nyama","-66","Nawakuta mnadani","0","","","0","","","","","","6","","-66","Sisafirishi  me nanunua  na kuchinja mnadani","2 3","","-66","Hapana","0","4","","","2","3ea3cdc7-e380-11ec-9416-9440c9ab47f0"
"1157737","1","1","1","","1","","Mkakatika","Mpamatwa","Bahi","2 3","","1","","0","","","","","","","","","","","","","","","","","","","","","","37d489c4-e380-11ec-9416-9440c9ab47f0"
"1157738","1","1","4","","","","","","","","","","","","","","1","1","","Mpamatwa","Mpamatwa","Bahi","5","","1","","3 4 2","","-66","Hapana","0","-66","Sitanunua","","2","4accaffd-e380-11ec-9416-9440c9ab47f0"
