"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","Market no","Name of market","Ward","District","Type of market (see mrktc_lkpmrkt_type)","Unique Row Identifier (UUID)"
"1154758","1","2","2","Dutwa","Dutwa","Bariadi DC","1","3722e6a7-dec9-11ec-9416-9440c9ab47f0"
"1154758","1","3","3","Nyashimo","Nyashimo","Busega","1","3722f54b-dec9-11ec-9416-9440c9ab47f0"
"1154759","1","1","1","Dutwa","Dutwa","Busega","1","38d37d67-dec9-11ec-9416-9440c9ab47f0"
"1154759","1","2","2","Kidinda","Kidinda","Bariadi mji","1","38d38d85-dec9-11ec-9416-9440c9ab47f0"
"1154759","1","3","3","Nyashimo","Nyashimo","Busega","1","38d39ae5-dec9-11ec-9416-9440c9ab47f0"
"1154760","1","1","1","Kidinda","Kidinda","Bariadi mji","1","47f79c10-dec9-11ec-9416-9440c9ab47f0"
"1154760","1","2","2","Nyashimo","Nyashimo","Busega","1","47f7ac1e-dec9-11ec-9416-9440c9ab47f0"
"1154761","1","1","1","Dutwa","Dutwa","Busega","1","4a9c22b3-dec9-11ec-9416-9440c9ab47f0"
"1154768","1","1","1","Kyabakari","Kyabakari","Butiama","1","4408a281-dec9-11ec-9416-9440c9ab47f0"
"1154773","1","1","1","Nyashimo","Nyashimo","Busega","1","47ca889b-dec9-11ec-9416-9440c9ab47f0"
"1154773","1","2","2","Dutwa","Dutwa","Busega","1","47ca98f0-dec9-11ec-9416-9440c9ab47f0"
"1154782","1","1","1","Dutwa","Dutwa","Bariadi dc","1","3e8bae9f-dec9-11ec-9416-9440c9ab47f0"
"1154782","1","2","2","Kidinda","Kidinda","Bariadi tc","1","3e8bf1a5-dec9-11ec-9416-9440c9ab47f0"
"1154783","1","1","1","Nyashimo","Nyashimo","Busega","1","3be27125-dec9-11ec-9416-9440c9ab47f0"
"1154783","1","2","2","Kabila","Kabila","Magu","1","3be2c6b9-dec9-11ec-9416-9440c9ab47f0"
"1154784","1","1","1","Kabila","Kabila","Magu","1","48625d88-dec9-11ec-9416-9440c9ab47f0"
"1154786","1","1","1","Dutwa","Dutwa","Bariadi dc","1","4e1ff6fc-dec9-11ec-9416-9440c9ab47f0"
"1154787","1","1","1","Dutwa","Dutwa","Bariadi dc","1","3ecdba16-dec9-11ec-9416-9440c9ab47f0"
"1154788","1","1","1","Nyashimo","Nyashimo","Busega","1","48a12a2a-dec9-11ec-9416-9440c9ab47f0"
"1154789","1","1","1","Nyashimo","Nyashimo","Busega","1","40bb9d0f-dec9-11ec-9416-9440c9ab47f0"
"1154790","1","1","1","Dutwa","Dutwa","Bariadi","1","3ce21554-dec9-11ec-9416-9440c9ab47f0"
"1154790","1","2","2","Kiabakari","Kiabakari","Butiama","1","3ce25e3e-dec9-11ec-9416-9440c9ab47f0"
"1154792","1","1","1","Dutwa","Dutwa","Bariadi","1","3f604b7c-dec9-11ec-9416-9440c9ab47f0"
"1154794","1","1","1","Bariadi","Kidinda","Bariadi Tc","1","4091c548-dec9-11ec-9416-9440c9ab47f0"
"1154795","1","1","1","Dutwa","Dutwa","Bariadi","1","40752a6a-dec9-11ec-9416-9440c9ab47f0"
"1154795","1","2","2","Bariadi","Kidinda","Bariadi","1","40756fff-dec9-11ec-9416-9440c9ab47f0"
"1154800","1","1","1","Dutwa","Dutwa","Bariadi dc","1","4709c0f2-dec9-11ec-9416-9440c9ab47f0"
"1154800","1","2","2","Bariadi","Kidinda","Bariadi tc","1","4709d15c-dec9-11ec-9416-9440c9ab47f0"
