"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","9. What criteria do you use to decide which small ruminants to buy? (see mrktc_lkpbuy_criteria)","Unique Row Identifier (UUID)"
"975674","1","1","2","fa2f3f71-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","3","fa2f4eec-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","4","fa2f5caa-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","6","fa2f7e66-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","8","fa2f6fb3-beed-11eb-8cbd-5cb901ddeae0"
"975675","1","1","1","ff082517-beed-11eb-8cbd-5cb901ddeae0"
"975675","1","1","2","ff083367-beed-11eb-8cbd-5cb901ddeae0"
"975675","1","1","4","ff084488-beed-11eb-8cbd-5cb901ddeae0"
"975675","1","1","5","ff08551b-beed-11eb-8cbd-5cb901ddeae0"
"975675","1","1","6","ff0864b9-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","1","1","fcde2c5c-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","1","2","fcde3c1c-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","1","6","fcde4cef-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","1","7","fcde5e05-beed-11eb-8cbd-5cb901ddeae0"
"975680","1","1","1","f8033e8f-beed-11eb-8cbd-5cb901ddeae0"
"975680","1","1","2","f8034aca-beed-11eb-8cbd-5cb901ddeae0"
"975680","1","1","3","f80356b4-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","1","1","fc1fba54-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","1","2","fc1fce7c-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","1","3","fc1fe08a-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","1","6","fc1ff1a3-beed-11eb-8cbd-5cb901ddeae0"
"975682","1","1","1","fabc335b-beed-11eb-8cbd-5cb901ddeae0"
"975682","1","1","2","fabc44b4-beed-11eb-8cbd-5cb901ddeae0"
"975682","1","1","3","fabc61f6-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","1","1","f8371b00-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","1","2","f8372b36-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","1","3","f837381f-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","1","1","f820e094-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","1","2","f820f0c1-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","1","3","f8210027-beed-11eb-8cbd-5cb901ddeae0"
"975690","1","1","1","f9d7417c-beed-11eb-8cbd-5cb901ddeae0"
"975690","1","1","3","f9d7536e-beed-11eb-8cbd-5cb901ddeae0"
"975690","1","1","6","f9d72de5-beed-11eb-8cbd-5cb901ddeae0"
"975692","1","1","2","f9e23590-beed-11eb-8cbd-5cb901ddeae0"
"975692","1","1","3","f9e220ac-beed-11eb-8cbd-5cb901ddeae0"
"975694","1","1","2","fd409431-beed-11eb-8cbd-5cb901ddeae0"
"975694","1","1","3","fd40819a-beed-11eb-8cbd-5cb901ddeae0"
"975695","1","1","1","f8c885bc-beed-11eb-8cbd-5cb901ddeae0"
"975695","1","1","2","f8c89bfa-beed-11eb-8cbd-5cb901ddeae0"
"975696","1","1","3","fc386943-beed-11eb-8cbd-5cb901ddeae0"
"975696","1","1","7","fc387de3-beed-11eb-8cbd-5cb901ddeae0"
"976801","1","1","1","f7fc3f7f-beed-11eb-8cbd-5cb901ddeae0"
"976801","1","1","2","f7fc4ffe-beed-11eb-8cbd-5cb901ddeae0"
"976802","1","1","1","fb9a17dc-beed-11eb-8cbd-5cb901ddeae0"
"976802","1","1","2","fb9a29bb-beed-11eb-8cbd-5cb901ddeae0"
"976803","1","1","1","f8ab5520-beed-11eb-8cbd-5cb901ddeae0"
"976803","1","1","2","f8ab69f8-beed-11eb-8cbd-5cb901ddeae0"
"976803","1","1","6","f8ab8df9-beed-11eb-8cbd-5cb901ddeae0"
"976803","1","1","8","f8ab7c7a-beed-11eb-8cbd-5cb901ddeae0"
"976804","1","1","-66","f9ee2e36-beed-11eb-8cbd-5cb901ddeae0"
"976804","1","1","2","f9edf93a-beed-11eb-8cbd-5cb901ddeae0"
"976804","1","1","6","f9ee071f-beed-11eb-8cbd-5cb901ddeae0"
"976805","1","1","1","f8e48c8a-beed-11eb-8cbd-5cb901ddeae0"
"976805","1","1","2","f8e47fbe-beed-11eb-8cbd-5cb901ddeae0"
"976805","1","1","6","f8e4a37f-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","1","1","feef2be8-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","1","2","feef3ea5-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","1","3","feef5024-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","1","1","fd7d18ba-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","1","2","fd7d28e5-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","1","3","fd7d3934-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","1","fcc111ab-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","2","fcc123a9-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","3","fcc136d8-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","1","faf51d45-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","2","faf53073-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","3","faf543c8-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","1","1","f843d8a2-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","1","2","f843e6ef-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","1","3","f843f2ad-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","1","1","f813931c-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","1","2","f8139e8f-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","1","3","f813a90d-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","1","4","f813b3a4-beed-11eb-8cbd-5cb901ddeae0"
"977204","1","1","2","fda54017-beed-11eb-8cbd-5cb901ddeae0"
"977204","1","1","8","fda55ab4-beed-11eb-8cbd-5cb901ddeae0"
"977205","1","1","1","f8345d29-beed-11eb-8cbd-5cb901ddeae0"
"977205","1","1","2","f8344977-beed-11eb-8cbd-5cb901ddeae0"
"977206","1","1","1","fdcfbdeb-beed-11eb-8cbd-5cb901ddeae0"
"977206","1","1","3","fdcfa89d-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","3","fec7e36c-beed-11eb-8cbd-5cb901ddeae0"
"977398","1","1","3","fc08cd4a-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","1","fdb90745-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","2","fdb91995-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","3","fdb92b09-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","4","fdb93d71-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","5","fdb94ee3-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","6","fdb95fb4-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","7","fdb9736f-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","8","fdb9855e-beed-11eb-8cbd-5cb901ddeae0"
"977400","1","1","2","f8da314a-beed-11eb-8cbd-5cb901ddeae0"
"977400","1","1","3","f8da418a-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","1","f8757c5a-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","2","f8758a24-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","3","f875951a-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","4","f8759ff4-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","5","f875ac2b-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","6","f875b711-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","7","f875c23e-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","8","f875cd51-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","1","2","fd00e994-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","1","3","fd00daed-beed-11eb-8cbd-5cb901ddeae0"
